"","Study_ID","response_var","Climate","year","Time_Since_Fire","Xe1","Xe2","Xe3","Xe4","Xe5","Xe6","Xe7","Xe8","Xe9","Xe10","Xe11","Xe12","Xe13","Xe14","Xe15","Xe16","Xe17","Xe18","Xe19","Xe20","Xe21","Xe22","Xc","Biome","Site","Effect_size"
"1","Abbott et al. 2021","DOC_Interp","Dwc",2017,"10",79.768738063,44.62018428,48.692408587,28.895206048,572.18577102,479.574326734,17.116415782,78.142624616,114.753819417,63.830332021,32.740528552,36.121628946,46.891763251,58.805333016,17.297828716,14.943993202,29.167734318,16.897071671,11.872421418,206.700280322,570.600479634,35614.07745125,51.643044794,"Cold","lnR1",0.434776147934792
"2","Abbott et al. 2021","DOC_Interp","Dwc",2017,"10",79.768738063,44.62018428,48.692408587,28.895206048,572.18577102,479.574326734,17.116415782,78.142624616,114.753819417,63.830332021,32.740528552,36.121628946,46.891763251,58.805333016,17.297828716,14.943993202,29.167734318,16.897071671,11.872421418,206.700280322,570.600479634,35614.07745125,51.643044794,"Cold","lnR2",-0.146169207186582
"3","Abbott et al. 2021","DOC_Interp","Dwc",2017,"10",79.768738063,44.62018428,48.692408587,28.895206048,572.18577102,479.574326734,17.116415782,78.142624616,114.753819417,63.830332021,32.740528552,36.121628946,46.891763251,58.805333016,17.297828716,14.943993202,29.167734318,16.897071671,11.872421418,206.700280322,570.600479634,35614.07745125,51.643044794,"Cold","lnR3",-0.0588323894016124
"4","Abbott et al. 2021","DOC_Interp","Dwc",2017,"10",79.768738063,44.62018428,48.692408587,28.895206048,572.18577102,479.574326734,17.116415782,78.142624616,114.753819417,63.830332021,32.740528552,36.121628946,46.891763251,58.805333016,17.297828716,14.943993202,29.167734318,16.897071671,11.872421418,206.700280322,570.600479634,35614.07745125,51.643044794,"Cold","lnR4",-0.580679825502372
"5","Abbott et al. 2021","DOC_Interp","Dwc",2017,"10",79.768738063,44.62018428,48.692408587,28.895206048,572.18577102,479.574326734,17.116415782,78.142624616,114.753819417,63.830332021,32.740528552,36.121628946,46.891763251,58.805333016,17.297828716,14.943993202,29.167734318,16.897071671,11.872421418,206.700280322,570.600479634,35614.07745125,51.643044794,"Cold","lnR5",2.40510818699347
"6","Abbott et al. 2021","DOC_Interp","Dwc",2017,"10",79.768738063,44.62018428,48.692408587,28.895206048,572.18577102,479.574326734,17.116415782,78.142624616,114.753819417,63.830332021,32.740528552,36.121628946,46.891763251,58.805333016,17.297828716,14.943993202,29.167734318,16.897071671,11.872421418,206.700280322,570.600479634,35614.07745125,51.643044794,"Cold","lnR6",2.2285433649719
"7","Abbott et al. 2021","DOC_Interp","Dwc",2017,"10",79.768738063,44.62018428,48.692408587,28.895206048,572.18577102,479.574326734,17.116415782,78.142624616,114.753819417,63.830332021,32.740528552,36.121628946,46.891763251,58.805333016,17.297828716,14.943993202,29.167734318,16.897071671,11.872421418,206.700280322,570.600479634,35614.07745125,51.643044794,"Cold","lnR7",-1.10431753590199
"8","Abbott et al. 2021","DOC_Interp","Dwc",2017,"10",79.768738063,44.62018428,48.692408587,28.895206048,572.18577102,479.574326734,17.116415782,78.142624616,114.753819417,63.830332021,32.740528552,36.121628946,46.891763251,58.805333016,17.297828716,14.943993202,29.167734318,16.897071671,11.872421418,206.700280322,570.600479634,35614.07745125,51.643044794,"Cold","lnR8",0.414180151529628
"9","Abbott et al. 2021","DOC_Interp","Dwc",2017,"10",79.768738063,44.62018428,48.692408587,28.895206048,572.18577102,479.574326734,17.116415782,78.142624616,114.753819417,63.830332021,32.740528552,36.121628946,46.891763251,58.805333016,17.297828716,14.943993202,29.167734318,16.897071671,11.872421418,206.700280322,570.600479634,35614.07745125,51.643044794,"Cold","lnR9",0.798433606897477
"10","Abbott et al. 2021","DOC_Interp","Dwc",2017,"10",79.768738063,44.62018428,48.692408587,28.895206048,572.18577102,479.574326734,17.116415782,78.142624616,114.753819417,63.830332021,32.740528552,36.121628946,46.891763251,58.805333016,17.297828716,14.943993202,29.167734318,16.897071671,11.872421418,206.700280322,570.600479634,35614.07745125,51.643044794,"Cold","lnR10",0.211872974730439
