"","Study_ID","response_var","Climate","year","Time_Since_Fire","Xe1","Xe2","Xe3","Xe4","Xe5","Xe6","Xe7","Xe8","Xe9","Xe10","Xe11","Xe12","Xe13","Xe14","Xe15","Xe16","Xe17","Xe18","Xe19","Xe20","Xe21","Xe22","Xc","Biome","Site","Effect_size"
"11","Abbott et al. 2021","DOC_Interp","Dwc",2017,"10",79.768738063,44.62018428,48.692408587,28.895206048,572.18577102,479.574326734,17.116415782,78.142624616,114.753819417,63.830332021,32.740528552,36.121628946,46.891763251,58.805333016,17.297828716,14.943993202,29.167734318,16.897071671,11.872421418,206.700280322,570.600479634,35614.07745125,51.643044794,"Cold","lnR11",-0.455741810434508
"12","Abbott et al. 2021","DOC_Interp","Dwc",2017,"10",79.768738063,44.62018428,48.692408587,28.895206048,572.18577102,479.574326734,17.116415782,78.142624616,114.753819417,63.830332021,32.740528552,36.121628946,46.891763251,58.805333016,17.297828716,14.943993202,29.167734318,16.897071671,11.872421418,206.700280322,570.600479634,35614.07745125,51.643044794,"Cold","lnR12",-0.357463700464343
"13","Abbott et al. 2021","DOC_Interp","Dwc",2017,"10",79.768738063,44.62018428,48.692408587,28.895206048,572.18577102,479.574326734,17.116415782,78.142624616,114.753819417,63.830332021,32.740528552,36.121628946,46.891763251,58.805333016,17.297828716,14.943993202,29.167734318,16.897071671,11.872421418,206.700280322,570.600479634,35614.07745125,51.643044794,"Cold","lnR13",-0.0965134897864531
"14","Abbott et al. 2021","DOC_Interp","Dwc",2017,"10",79.768738063,44.62018428,48.692408587,28.895206048,572.18577102,479.574326734,17.116415782,78.142624616,114.753819417,63.830332021,32.740528552,36.121628946,46.891763251,58.805333016,17.297828716,14.943993202,29.167734318,16.897071671,11.872421418,206.700280322,570.600479634,35614.07745125,51.643044794,"Cold","lnR14",0.129877022173835
"15","Abbott et al. 2021","DOC_Interp","Dwc",2017,"10",79.768738063,44.62018428,48.692408587,28.895206048,572.18577102,479.574326734,17.116415782,78.142624616,114.753819417,63.830332021,32.740528552,36.121628946,46.891763251,58.805333016,17.297828716,14.943993202,29.167734318,16.897071671,11.872421418,206.700280322,570.600479634,35614.07745125,51.643044794,"Cold","lnR15",-1.09377454028768
"16","Abbott et al. 2021","DOC_Interp","Dwc",2017,"10",79.768738063,44.62018428,48.692408587,28.895206048,572.18577102,479.574326734,17.116415782,78.142624616,114.753819417,63.830332021,32.740528552,36.121628946,46.891763251,58.805333016,17.297828716,14.943993202,29.167734318,16.897071671,11.872421418,206.700280322,570.600479634,35614.07745125,51.643044794,"Cold","lnR16",-1.2400460995809
"17","Abbott et al. 2021","DOC_Interp","Dwc",2017,"10",79.768738063,44.62018428,48.692408587,28.895206048,572.18577102,479.574326734,17.116415782,78.142624616,114.753819417,63.830332021,32.740528552,36.121628946,46.891763251,58.805333016,17.297828716,14.943993202,29.167734318,16.897071671,11.872421418,206.700280322,570.600479634,35614.07745125,51.643044794,"Cold","lnR17",-0.571292416954916
"18","Abbott et al. 2021","DOC_Interp","Dwc",2017,"10",79.768738063,44.62018428,48.692408587,28.895206048,572.18577102,479.574326734,17.116415782,78.142624616,114.753819417,63.830332021,32.740528552,36.121628946,46.891763251,58.805333016,17.297828716,14.943993202,29.167734318,16.897071671,11.872421418,206.700280322,570.600479634,35614.07745125,51.643044794,"Cold","lnR18",-1.11721519315895
"19","Abbott et al. 2021","DOC_Interp","Dwc",2017,"10",79.768738063,44.62018428,48.692408587,28.895206048,572.18577102,479.574326734,17.116415782,78.142624616,114.753819417,63.830332021,32.740528552,36.121628946,46.891763251,58.805333016,17.297828716,14.943993202,29.167734318,16.897071671,11.872421418,206.700280322,570.600479634,35614.07745125,51.643044794,"Cold","lnR19",-1.47013734357477
"20","Abbott et al. 2021","DOC_Interp","Dwc",2017,"10",79.768738063,44.62018428,48.692408587,28.895206048,572.18577102,479.574326734,17.116415782,78.142624616,114.753819417,63.830332021,32.740528552,36.121628946,46.891763251,58.805333016,17.297828716,14.943993202,29.167734318,16.897071671,11.872421418,206.700280322,570.600479634,35614.07745125,51.643044794,"Cold","lnR20",1.38691429669585
"21","Abbott et al. 2021","DOC_Interp","Dwc",2017,"10",79.768738063,44.62018428,48.692408587,28.895206048,572.18577102,479.574326734,17.116415782,78.142624616,114.753819417,63.830332021,32.740528552,36.121628946,46.891763251,58.805333016,17.297828716,14.943993202,29.167734318,16.897071671,11.872421418,206.700280322,570.600479634,35614.07745125,51.643044794,"Cold","lnR21",2.40233375318839
"22","Abbott et al. 2021","DOC_Interp","Dwc",2017,"10",79.768738063,44.62018428,48.692408587,28.895206048,572.18577102,479.574326734,17.116415782,78.142624616,114.753819417,63.830332021,32.740528552,36.121628946,46.891763251,58.805333016,17.297828716,14.943993202,29.167734318,16.897071671,11.872421418,206.700280322,570.600479634,35614.07745125,51.643044794,"Cold","lnR22",6.53614074653158
"23","Abbott et al. 2021","DOC_Interp","Dwc",2018,"10",53.204250007,36.694693302,43.409095267,21.036272363,570.018471011,333.531397691,12.821037735,57.356700636,106.62827784,59.010578533,27.191071416,28.224647004,38.583927036,50.612959401,16.369687572,10.955888923,24.524820348,13.217028777,9.523535654,189.085179036,486.598713722,0,44.097146314,"Cold","lnR1",0.18774320958045
"24","Abbott et al. 2021","DOC_Interp","Dwc",2018,"10",53.204250007,36.694693302,43.409095267,21.036272363,570.018471011,333.531397691,12.821037735,57.356700636,106.62827784,59.010578533,27.191071416,28.224647004,38.583927036,50.612959401,16.369687572,10.955888923,24.524820348,13.217028777,9.523535654,189.085179036,486.598713722,0,44.097146314,"Cold","lnR2",-0.18376292299628
"25","Abbott et al. 2021","DOC_Interp","Dwc",2018,"10",53.204250007,36.694693302,43.409095267,21.036272363,570.018471011,333.531397691,12.821037735,57.356700636,106.62827784,59.010578533,27.191071416,28.224647004,38.583927036,50.612959401,16.369687572,10.955888923,24.524820348,13.217028777,9.523535654,189.085179036,486.598713722,0,44.097146314,"Cold","lnR3",-0.0157260834119157
"26","Abbott et al. 2021","DOC_Interp","Dwc",2018,"10",53.204250007,36.694693302,43.409095267,21.036272363,570.018471011,333.531397691,12.821037735,57.356700636,106.62827784,59.010578533,27.191071416,28.224647004,38.583927036,50.612959401,16.369687572,10.955888923,24.524820348,13.217028777,9.523535654,189.085179036,486.598713722,0,44.097146314,"Cold","lnR4",-0.740146867811666
"27","Abbott et al. 2021","DOC_Interp","Dwc",2018,"10",53.204250007,36.694693302,43.409095267,21.036272363,570.018471011,333.531397691,12.821037735,57.356700636,106.62827784,59.010578533,27.191071416,28.224647004,38.583927036,50.612959401,16.369687572,10.955888923,24.524820348,13.217028777,9.523535654,189.085179036,486.598713722,0,44.097146314,"Cold","lnR5",2.55927369466006
"28","Abbott et al. 2021","DOC_Interp","Dwc",2018,"10",53.204250007,36.694693302,43.409095267,21.036272363,570.018471011,333.531397691,12.821037735,57.356700636,106.62827784,59.010578533,27.191071416,28.224647004,38.583927036,50.612959401,16.369687572,10.955888923,24.524820348,13.217028777,9.523535654,189.085179036,486.598713722,0,44.097146314,"Cold","lnR6",2.02334193599827
"29","Abbott et al. 2021","DOC_Interp","Dwc",2018,"10",53.204250007,36.694693302,43.409095267,21.036272363,570.018471011,333.531397691,12.821037735,57.356700636,106.62827784,59.010578533,27.191071416,28.224647004,38.583927036,50.612959401,16.369687572,10.955888923,24.524820348,13.217028777,9.523535654,189.085179036,486.598713722,0,44.097146314,"Cold","lnR7",-1.23530767614156
"30","Abbott et al. 2021","DOC_Interp","Dwc",2018,"10",53.204250007,36.694693302,43.409095267,21.036272363,570.018471011,333.531397691,12.821037735,57.356700636,106.62827784,59.010578533,27.191071416,28.224647004,38.583927036,50.612959401,16.369687572,10.955888923,24.524820348,13.217028777,9.523535654,189.085179036,486.598713722,0,44.097146314,"Cold","lnR8",0.262894603418174
"31","Abbott et al. 2021","DOC_Interp","Dwc",2018,"10",53.204250007,36.694693302,43.409095267,21.036272363,570.018471011,333.531397691,12.821037735,57.356700636,106.62827784,59.010578533,27.191071416,28.224647004,38.583927036,50.612959401,16.369687572,10.955888923,24.524820348,13.217028777,9.523535654,189.085179036,486.598713722,0,44.097146314,"Cold","lnR9",0.882953676171876
"32","Abbott et al. 2021","DOC_Interp","Dwc",2018,"10",53.204250007,36.694693302,43.409095267,21.036272363,570.018471011,333.531397691,12.821037735,57.356700636,106.62827784,59.010578533,27.191071416,28.224647004,38.583927036,50.612959401,16.369687572,10.955888923,24.524820348,13.217028777,9.523535654,189.085179036,486.598713722,0,44.097146314,"Cold","lnR10",0.291321654077447
"33","Abbott et al. 2021","DOC_Interp","Dwc",2018,"10",53.204250007,36.694693302,43.409095267,21.036272363,570.018471011,333.531397691,12.821037735,57.356700636,106.62827784,59.010578533,27.191071416,28.224647004,38.583927036,50.612959401,16.369687572,10.955888923,24.524820348,13.217028777,9.523535654,189.085179036,486.598713722,0,44.097146314,"Cold","lnR11",-0.483506408276747
"34","Abbott et al. 2021","DOC_Interp","Dwc",2018,"10",53.204250007,36.694693302,43.409095267,21.036272363,570.018471011,333.531397691,12.821037735,57.356700636,106.62827784,59.010578533,27.191071416,28.224647004,38.583927036,50.612959401,16.369687572,10.955888923,24.524820348,13.217028777,9.523535654,189.085179036,486.598713722,0,44.097146314,"Cold","lnR12",-0.446199467469758
"35","Abbott et al. 2021","DOC_Interp","Dwc",2018,"10",53.204250007,36.694693302,43.409095267,21.036272363,570.018471011,333.531397691,12.821037735,57.356700636,106.62827784,59.010578533,27.191071416,28.224647004,38.583927036,50.612959401,16.369687572,10.955888923,24.524820348,13.217028777,9.523535654,189.085179036,486.598713722,0,44.097146314,"Cold","lnR13",-0.133559279203985
"36","Abbott et al. 2021","DOC_Interp","Dwc",2018,"10",53.204250007,36.694693302,43.409095267,21.036272363,570.018471011,333.531397691,12.821037735,57.356700636,106.62827784,59.010578533,27.191071416,28.224647004,38.583927036,50.612959401,16.369687572,10.955888923,24.524820348,13.217028777,9.523535654,189.085179036,486.598713722,0,44.097146314,"Cold","lnR14",0.137812587219984
"37","Abbott et al. 2021","DOC_Interp","Dwc",2018,"10",53.204250007,36.694693302,43.409095267,21.036272363,570.018471011,333.531397691,12.821037735,57.356700636,106.62827784,59.010578533,27.191071416,28.224647004,38.583927036,50.612959401,16.369687572,10.955888923,24.524820348,13.217028777,9.523535654,189.085179036,486.598713722,0,44.097146314,"Cold","lnR15",-0.990963765125155
"38","Abbott et al. 2021","DOC_Interp","Dwc",2018,"10",53.204250007,36.694693302,43.409095267,21.036272363,570.018471011,333.531397691,12.821037735,57.356700636,106.62827784,59.010578533,27.191071416,28.224647004,38.583927036,50.612959401,16.369687572,10.955888923,24.524820348,13.217028777,9.523535654,189.085179036,486.598713722,0,44.097146314,"Cold","lnR16",-1.39251795803945
"39","Abbott et al. 2021","DOC_Interp","Dwc",2018,"10",53.204250007,36.694693302,43.409095267,21.036272363,570.018471011,333.531397691,12.821037735,57.356700636,106.62827784,59.010578533,27.191071416,28.224647004,38.583927036,50.612959401,16.369687572,10.955888923,24.524820348,13.217028777,9.523535654,189.085179036,486.598713722,0,44.097146314,"Cold","lnR17",-0.58670939076129
"40","Abbott et al. 2021","DOC_Interp","Dwc",2018,"10",53.204250007,36.694693302,43.409095267,21.036272363,570.018471011,333.531397691,12.821037735,57.356700636,106.62827784,59.010578533,27.191071416,28.224647004,38.583927036,50.612959401,16.369687572,10.955888923,24.524820348,13.217028777,9.523535654,189.085179036,486.598713722,0,44.097146314,"Cold","lnR18",-1.20488901388095
"41","Abbott et al. 2021","DOC_Interp","Dwc",2018,"10",53.204250007,36.694693302,43.409095267,21.036272363,570.018471011,333.531397691,12.821037735,57.356700636,106.62827784,59.010578533,27.191071416,28.224647004,38.583927036,50.612959401,16.369687572,10.955888923,24.524820348,13.217028777,9.523535654,189.085179036,486.598713722,0,44.097146314,"Cold","lnR19",-1.53262889884481
"42","Abbott et al. 2021","DOC_Interp","Dwc",2018,"10",53.204250007,36.694693302,43.409095267,21.036272363,570.018471011,333.531397691,12.821037735,57.356700636,106.62827784,59.010578533,27.191071416,28.224647004,38.583927036,50.612959401,16.369687572,10.955888923,24.524820348,13.217028777,9.523535654,189.085179036,486.598713722,0,44.097146314,"Cold","lnR20",1.45580252533689
"43","Abbott et al. 2021","DOC_Interp","Dwc",2018,"10",53.204250007,36.694693302,43.409095267,21.036272363,570.018471011,333.531397691,12.821037735,57.356700636,106.62827784,59.010578533,27.191071416,28.224647004,38.583927036,50.612959401,16.369687572,10.955888923,24.524820348,13.217028777,9.523535654,189.085179036,486.598713722,0,44.097146314,"Cold","lnR21",2.40104471602088
"44","Abbott et al. 2021","DOC_Interp","Dwc",2018,"11",62.143456639,45.07430936,52.160033803,24.81734184,919.160291359,264.076041212,17.361328981,73.375528934,109.120902692,79.678232628,32.975967328,35.19329469,46.668590139,59.858984333,19.253283087,15.542083462,21.062283724,16.653529472,11.524090003,215.610870261,616.507292539,0,49.653942785,"Cold","lnR1",0.22436773013189
"45","Abbott et al. 2021","DOC_Interp","Dwc",2018,"11",62.143456639,45.07430936,52.160033803,24.81734184,919.160291359,264.076041212,17.361328981,73.375528934,109.120902692,79.678232628,32.975967328,35.19329469,46.668590139,59.858984333,19.253283087,15.542083462,21.062283724,16.653529472,11.524090003,215.610870261,616.507292539,0,49.653942785,"Cold","lnR2",-0.0967653519661762
"46","Abbott et al. 2021","DOC_Interp","Dwc",2018,"11",62.143456639,45.07430936,52.160033803,24.81734184,919.160291359,264.076041212,17.361328981,73.375528934,109.120902692,79.678232628,32.975967328,35.19329469,46.668590139,59.858984333,19.253283087,15.542083462,21.062283724,16.653529472,11.524090003,215.610870261,616.507292539,0,49.653942785,"Cold","lnR3",0.0492387667625214
"47","Abbott et al. 2021","DOC_Interp","Dwc",2018,"11",62.143456639,45.07430936,52.160033803,24.81734184,919.160291359,264.076041212,17.361328981,73.375528934,109.120902692,79.678232628,32.975967328,35.19329469,46.668590139,59.858984333,19.253283087,15.542083462,21.062283724,16.653529472,11.524090003,215.610870261,616.507292539,0,49.653942785,"Cold","lnR4",-0.693535122380217
"48","Abbott et al. 2021","DOC_Interp","Dwc",2018,"11",62.143456639,45.07430936,52.160033803,24.81734184,919.160291359,264.076041212,17.361328981,73.375528934,109.120902692,79.678232628,32.975967328,35.19329469,46.668590139,59.858984333,19.253283087,15.542083462,21.062283724,16.653529472,11.524090003,215.610870261,616.507292539,0,49.653942785,"Cold","lnR5",2.91838272755135
"49","Abbott et al. 2021","DOC_Interp","Dwc",2018,"11",62.143456639,45.07430936,52.160033803,24.81734184,919.160291359,264.076041212,17.361328981,73.375528934,109.120902692,79.678232628,32.975967328,35.19329469,46.668590139,59.858984333,19.253283087,15.542083462,21.062283724,16.653529472,11.524090003,215.610870261,616.507292539,0,49.653942785,"Cold","lnR6",1.67115929764685
"50","Abbott et al. 2021","DOC_Interp","Dwc",2018,"11",62.143456639,45.07430936,52.160033803,24.81734184,919.160291359,264.076041212,17.361328981,73.375528934,109.120902692,79.678232628,32.975967328,35.19329469,46.668590139,59.858984333,19.253283087,15.542083462,21.062283724,16.653529472,11.524090003,215.610870261,616.507292539,0,49.653942785,"Cold","lnR7",-1.05083253841217
"51","Abbott et al. 2021","DOC_Interp","Dwc",2018,"11",62.143456639,45.07430936,52.160033803,24.81734184,919.160291359,264.076041212,17.361328981,73.375528934,109.120902692,79.678232628,32.975967328,35.19329469,46.668590139,59.858984333,19.253283087,15.542083462,21.062283724,16.653529472,11.524090003,215.610870261,616.507292539,0,49.653942785,"Cold","lnR8",0.390512687843507
"52","Abbott et al. 2021","DOC_Interp","Dwc",2018,"11",62.143456639,45.07430936,52.160033803,24.81734184,919.160291359,264.076041212,17.361328981,73.375528934,109.120902692,79.678232628,32.975967328,35.19329469,46.668590139,59.858984333,19.253283087,15.542083462,21.062283724,16.653529472,11.524090003,215.610870261,616.507292539,0,49.653942785,"Cold","lnR9",0.787378667612293
"53","Abbott et al. 2021","DOC_Interp","Dwc",2018,"11",62.143456639,45.07430936,52.160033803,24.81734184,919.160291359,264.076041212,17.361328981,73.375528934,109.120902692,79.678232628,32.975967328,35.19329469,46.668590139,59.858984333,19.253283087,15.542083462,21.062283724,16.653529472,11.524090003,215.610870261,616.507292539,0,49.653942785,"Cold","lnR10",0.472918633237533
"54","Abbott et al. 2021","DOC_Interp","Dwc",2018,"11",62.143456639,45.07430936,52.160033803,24.81734184,919.160291359,264.076041212,17.361328981,73.375528934,109.120902692,79.678232628,32.975967328,35.19329469,46.668590139,59.858984333,19.253283087,15.542083462,21.062283724,16.653529472,11.524090003,215.610870261,616.507292539,0,49.653942785,"Cold","lnR11",-0.409298765552878
"55","Abbott et al. 2021","DOC_Interp","Dwc",2018,"11",62.143456639,45.07430936,52.160033803,24.81734184,919.160291359,264.076041212,17.361328981,73.375528934,109.120902692,79.678232628,32.975967328,35.19329469,46.668590139,59.858984333,19.253283087,15.542083462,21.062283724,16.653529472,11.524090003,215.610870261,616.507292539,0,49.653942785,"Cold","lnR12",-0.344222226222489
"56","Abbott et al. 2021","DOC_Interp","Dwc",2018,"11",62.143456639,45.07430936,52.160033803,24.81734184,919.160291359,264.076041212,17.361328981,73.375528934,109.120902692,79.678232628,32.975967328,35.19329469,46.668590139,59.858984333,19.253283087,15.542083462,21.062283724,16.653529472,11.524090003,215.610870261,616.507292539,0,49.653942785,"Cold","lnR13",-0.0620064485632441
"57","Abbott et al. 2021","DOC_Interp","Dwc",2018,"11",62.143456639,45.07430936,52.160033803,24.81734184,919.160291359,264.076041212,17.361328981,73.375528934,109.120902692,79.678232628,32.975967328,35.19329469,46.668590139,59.858984333,19.253283087,15.542083462,21.062283724,16.653529472,11.524090003,215.610870261,616.507292539,0,49.653942785,"Cold","lnR14",0.186913735987417
"58","Abbott et al. 2021","DOC_Interp","Dwc",2018,"11",62.143456639,45.07430936,52.160033803,24.81734184,919.160291359,264.076041212,17.361328981,73.375528934,109.120902692,79.678232628,32.975967328,35.19329469,46.668590139,59.858984333,19.253283087,15.542083462,21.062283724,16.653529472,11.524090003,215.610870261,616.507292539,0,49.653942785,"Cold","lnR15",-0.947396202753491
"59","Abbott et al. 2021","DOC_Interp","Dwc",2018,"11",62.143456639,45.07430936,52.160033803,24.81734184,919.160291359,264.076041212,17.361328981,73.375528934,109.120902692,79.678232628,32.975967328,35.19329469,46.668590139,59.858984333,19.253283087,15.542083462,21.062283724,16.653529472,11.524090003,215.610870261,616.507292539,0,49.653942785,"Cold","lnR16",-1.16152639205275
"60","Abbott et al. 2021","DOC_Interp","Dwc",2018,"11",62.143456639,45.07430936,52.160033803,24.81734184,919.160291359,264.076041212,17.361328981,73.375528934,109.120902692,79.678232628,32.975967328,35.19329469,46.668590139,59.858984333,19.253283087,15.542083462,21.062283724,16.653529472,11.524090003,215.610870261,616.507292539,0,49.653942785,"Cold","lnR17",-0.857593859156191
"61","Abbott et al. 2021","DOC_Interp","Dwc",2018,"11",62.143456639,45.07430936,52.160033803,24.81734184,919.160291359,264.076041212,17.361328981,73.375528934,109.120902692,79.678232628,32.975967328,35.19329469,46.668590139,59.858984333,19.253283087,15.542083462,21.062283724,16.653529472,11.524090003,215.610870261,616.507292539,0,49.653942785,"Cold","lnR18",-1.09245562465721
"62","Abbott et al. 2021","DOC_Interp","Dwc",2018,"11",62.143456639,45.07430936,52.160033803,24.81734184,919.160291359,264.076041212,17.361328981,73.375528934,109.120902692,79.678232628,32.975967328,35.19329469,46.668590139,59.858984333,19.253283087,15.542083462,21.062283724,16.653529472,11.524090003,215.610870261,616.507292539,0,49.653942785,"Cold","lnR19",-1.46063817167894
"63","Abbott et al. 2021","DOC_Interp","Dwc",2018,"11",62.143456639,45.07430936,52.160033803,24.81734184,919.160291359,264.076041212,17.361328981,73.375528934,109.120902692,79.678232628,32.975967328,35.19329469,46.668590139,59.858984333,19.253283087,15.542083462,21.062283724,16.653529472,11.524090003,215.610870261,616.507292539,0,49.653942785,"Cold","lnR20",1.46839745749483
"64","Abbott et al. 2021","DOC_Interp","Dwc",2018,"11",62.143456639,45.07430936,52.160033803,24.81734184,919.160291359,264.076041212,17.361328981,73.375528934,109.120902692,79.678232628,32.975967328,35.19329469,46.668590139,59.858984333,19.253283087,15.542083462,21.062283724,16.653529472,11.524090003,215.610870261,616.507292539,0,49.653942785,"Cold","lnR21",2.51899235255105
"65","Abbott et al. 2021","NO3_Interp","Dwc",2017,"10",0.024897817,0.002069034,0.024723077,0.007513187,0.417558052,0.843890618,0.003016629,0.005059461,0.003196816,0.007185394,0.001556071,0.002133922,0.00243058,0.010371496,0.003109876,0.001523626,0.001744781,0.007060843,0.002589174,0.01956614,0.033926926,1.57625,0.013019835,"Cold","lnR1",0.648306165055569
"66","Abbott et al. 2021","NO3_Interp","Dwc",2017,"10",0.024897817,0.002069034,0.024723077,0.007513187,0.417558052,0.843890618,0.003016629,0.005059461,0.003196816,0.007185394,0.001556071,0.002133922,0.00243058,0.010371496,0.003109876,0.001523626,0.001744781,0.007060843,0.002589174,0.01956614,0.033926926,1.57625,0.013019835,"Cold","lnR2",-1.83939213220123
"67","Abbott et al. 2021","NO3_Interp","Dwc",2017,"10",0.024897817,0.002069034,0.024723077,0.007513187,0.417558052,0.843890618,0.003016629,0.005059461,0.003196816,0.007185394,0.001556071,0.002133922,0.00243058,0.010371496,0.003109876,0.001523626,0.001744781,0.007060843,0.002589174,0.01956614,0.033926926,1.57625,0.013019835,"Cold","lnR3",0.6412631350642
"68","Abbott et al. 2021","NO3_Interp","Dwc",2017,"10",0.024897817,0.002069034,0.024723077,0.007513187,0.417558052,0.843890618,0.003016629,0.005059461,0.003196816,0.007185394,0.001556071,0.002133922,0.00243058,0.010371496,0.003109876,0.001523626,0.001744781,0.007060843,0.002589174,0.01956614,0.033926926,1.57625,0.013019835,"Cold","lnR4",-0.549814220621458
"69","Abbott et al. 2021","NO3_Interp","Dwc",2017,"10",0.024897817,0.002069034,0.024723077,0.007513187,0.417558052,0.843890618,0.003016629,0.005059461,0.003196816,0.007185394,0.001556071,0.002133922,0.00243058,0.010371496,0.003109876,0.001523626,0.001744781,0.007060843,0.002589174,0.01956614,0.033926926,1.57625,0.013019835,"Cold","lnR5",3.46794961744234
"70","Abbott et al. 2021","NO3_Interp","Dwc",2017,"10",0.024897817,0.002069034,0.024723077,0.007513187,0.417558052,0.843890618,0.003016629,0.005059461,0.003196816,0.007185394,0.001556071,0.002133922,0.00243058,0.010371496,0.003109876,0.001523626,0.001744781,0.007060843,0.002589174,0.01956614,0.033926926,1.57625,0.013019835,"Cold","lnR6",4.17154892278208
"71","Abbott et al. 2021","NO3_Interp","Dwc",2017,"10",0.024897817,0.002069034,0.024723077,0.007513187,0.417558052,0.843890618,0.003016629,0.005059461,0.003196816,0.007185394,0.001556071,0.002133922,0.00243058,0.010371496,0.003109876,0.001523626,0.001744781,0.007060843,0.002589174,0.01956614,0.033926926,1.57625,0.013019835,"Cold","lnR7",-1.46233398111114
"72","Abbott et al. 2021","NO3_Interp","Dwc",2017,"10",0.024897817,0.002069034,0.024723077,0.007513187,0.417558052,0.843890618,0.003016629,0.005059461,0.003196816,0.007185394,0.001556071,0.002133922,0.00243058,0.010371496,0.003109876,0.001523626,0.001744781,0.007060843,0.002589174,0.01956614,0.033926926,1.57625,0.013019835,"Cold","lnR8",-0.945214008002662
