"Study_ID","Pair_JSC","Koppen","Treatment","Time_Since_Fire","Time_Since_Fire_JSC","DOC_mg_C_L","STDEV_DOC","STER_DOC","TN_mg_N_per_L","STDEV_TN","STER_TN","TDN_mg_N_per_L","STDEV_TDN","STER_TDN","NO3_mg_per_L_as_Nitrate","STDEV_NO3","STER_NO3","NH4_mg_per_L_as_NH4","STER_NH4","TSF"
"1","Control","Dfb","Unburn","0","1-3 years",2.6,1.348477978,NA,NA,NA,NA,0.13,NA,NA,0.02483870968,NA,NA,0.0388026607538803,NA,"0-1 years"
"1","Control","Dfb","Unburn","0","1-3 years",2.2,NA,NA,NA,NA,NA,0.11,NA,NA,0.01580645161,NA,NA,0.0388026607538803,NA,"0-1 years"
"1","Control","Dfb","Unburn","0","1-3 years",2.1,NA,NA,NA,NA,NA,0.08,NA,NA,0.04516129032,NA,NA,0.0388026607538803,NA,"0-1 years"
"1","Control","Dfb","Unburn","0","1-3 years",2.4,NA,NA,NA,NA,NA,NA,NA,NA,0.02483870968,NA,NA,0.0388026607538803,NA,"0-1 years"
"1","Control","Dfb","Unburn","1","1-3 years",2.4,NA,NA,NA,NA,NA,NA,NA,NA,0.02032258065,NA,NA,0.0388026607538803,NA,"0-1 years"
"1","Control","Dfb","Unburn","1","1-3 years",2.7,NA,NA,NA,NA,NA,0.09,NA,NA,0,NA,NA,0.00543237250554324,NA,"0-1 years"
"1","Control","Dfb","Unburn","1","1-3 years",4.4,NA,NA,NA,NA,NA,0.12,NA,NA,0.000225806451612903,NA,NA,0.00543237250554324,NA,"0-1 years"
"1","Control","Dfb","Unburn","1","1-3 years",5.9,NA,NA,NA,NA,NA,0.24,NA,NA,0.006774193548,NA,NA,0.00543237250554324,NA,"0-1 years"
"1","Site 1","Dfb","Burn","0","1-3 years",13.7,NA,NA,NA,NA,NA,1.79,NA,NA,0.04516129032,NA,NA,0.3725055432,NA,"0-1 years"
"1","Site 1","Dfb","Burn","0","1-3 years",6.8,NA,NA,NA,NA,NA,0.77,NA,NA,0.1083870968,NA,NA,0.2172949002,NA,"0-1 years"
"1","Site 1","Dfb","Burn","0","1-3 years",3.7,NA,NA,NA,NA,NA,0.27,NA,NA,0.06774193548,NA,NA,0.0388026607538803,NA,"0-1 years"
"1","Site 1","Dfb","Burn","0","1-3 years",3.5,NA,NA,NA,NA,NA,0.25,NA,NA,0.03387096774,NA,NA,0.0388026607538803,NA,"0-1 years"
"1","Site 1","Dfb","Burn","0","1-3 years",2.6,NA,NA,NA,NA,NA,0.14,NA,NA,0.04516129032,NA,NA,0.0388026607538803,NA,"0-1 years"
"1","Site 1","Dfb","Burn","0","1-3 years",2.8,NA,NA,NA,NA,NA,0.11,NA,NA,0.04516129032,NA,NA,0.0388026607538803,NA,"0-1 years"
"1","Site 1","Dfb","Burn","0","1-3 years",2.1,NA,NA,NA,NA,NA,0.09,NA,NA,0.04516129032,NA,NA,0.0388026607538803,NA,"0-1 years"
"1","Site 1","Dfb","Burn","0","1-3 years",2.1,NA,NA,NA,NA,NA,NA,NA,NA,0.01806451613,NA,NA,0.0388026607538803,NA,"0-1 years"
"1","Site 1","Dfb","Burn","1","1-3 years",2.1,NA,NA,NA,NA,NA,NA,NA,NA,0.05193548387,NA,NA,0.1241685144,NA,"0-1 years"
"1","Site 1","Dfb","Burn","1","1-3 years",2.6,NA,NA,NA,NA,NA,0.19,NA,NA,0.01580645161,NA,NA,0.0155210643,NA,"0-1 years"
"1","Site 1","Dfb","Burn","1","1-3 years",6.4,NA,NA,NA,NA,NA,2.14,NA,NA,0.4832258065,NA,NA,0.0155210643,NA,"0-1 years"
"1","Site 1","Dfb","Burn","1","1-3 years",6.4,NA,NA,NA,NA,NA,0.26,NA,NA,0.05870967742,NA,NA,0.00543237250554324,NA,"0-1 years"
"1","Site 2","Dfb","Burn","0","1-3 years",2.6,NA,NA,NA,NA,NA,0.12,NA,NA,0.04516129032,NA,NA,0.0388026607538803,NA,"0-1 years"
"1","Site 2","Dfb","Burn","0","1-3 years",2.6,NA,NA,NA,NA,NA,0.12,NA,NA,0.04516129032,NA,NA,0.0388026607538803,NA,"0-1 years"
"1","Site 2","Dfb","Burn","0","1-3 years",2.1,NA,NA,NA,NA,NA,0.09,NA,NA,0.04516129032,NA,NA,0.0388026607538803,NA,"0-1 years"
"1","Site 2","Dfb","Burn","0","1-3 years",2.1,NA,NA,NA,NA,NA,NA,NA,NA,0.02483870968,NA,NA,0.0388026607538803,NA,"0-1 years"
"1","Site 2","Dfb","Burn","1","1-3 years",2.2,NA,NA,NA,NA,NA,NA,NA,NA,0.03612903226,NA,NA,0.0388026607538803,NA,"0-1 years"
