Study_ID,Site,response_var,Climate,Biome,fire_name,year,Effect_size_pair,Effect_size,mean_dnbr,burn_severity_category,burn_percentage,Time_Since_Fire
Hauer & Spencer 1998,Akokala Creek,NO3_Interp,Dfc,Cold,red_bench,MTBS_1988Ws,lnR3,2.332128722301076,307.8030090332031,Moderate,9.9,1
Hauer & Spencer 1998,Akokala Creek,NO3_Interp,Dfc,Cold,red_bench,MTBS_1988Ws,lnR3,2.2632756340805606,307.8030090332031,Moderate,9.9,2
Hauer & Spencer 1998,Akokala Creek,NO3_Interp,Dfc,Cold,red_bench,MTBS_1988Ws,lnR3,1.1968588798283115,307.8030090332031,Moderate,9.9,3
Hauer & Spencer 1998,Akokala Creek,NO3_Interp,Dfc,Cold,red_bench,MTBS_1988Ws,lnR3,1.144040408000032,307.8030090332031,Moderate,9.9,4
Hauer & Spencer 1998,Akokala Creek,NO3_Interp,Dfc,Cold,red_bench,MTBS_1988Ws,lnR3,1.464134057717891,307.8030090332031,Moderate,9.9,5
Coombs & Melack; 2013,Arroyo Hondo,NO3_Interp,BSk,Arid,gaviota,MTBS_2004Ws,lnR3,-0.2030079720285851,113.97161865234375,Low,18,0
Coombs & Melack; 2013,Arroyo Hondo,NO3_Interp,BSk,Arid,gaviota,MTBS_2004Ws,lnR3,0.17335251790747283,113.97161865234375,Low,18,1
Crandall et al. 2021,Benjamin Slough,DOC_Interp,Csa,Temperate,pole_creek,MTBS_2008Ws,lnR1,0.988069231426104,457.194000244141,Moderate,67,0
Crandall et al. 2021,Benjamin Slough,NO3_Interp,Csa,Temperate,pole_creek,MTBS_2008Ws,lnR1,1.4661797341705565,457.194000244141,Moderate,67,0
Hauer & Spencer 1998,Bowman Creek,NO3_Interp,Dfc,Cold,red_bench,MTBS_1988Ws,lnR4,1.2844252245417789,434.3525695800781,Moderate,11.3,3
Hauer & Spencer 1998,Bowman Creek,NO3_Interp,Dfc,Cold,red_bench,MTBS_1988Ws,lnR4,0.5376175802346618,434.3525695800781,Moderate,11.3,4
Hauer & Spencer 1998,Bowman Creek,NO3_Interp,Dfc,Cold,red_bench,MTBS_1988Ws,lnR4,0.8274961058239492,434.3525695800781,Moderate,11.3,5
Murphy et al. 2018,DS1,DOC_Interp,Cfb,Temperate,fourmile_canyon,MTBS_2010Ws,lnR1,-0.19586948633799223,319.860595703125,Moderate,16.3095,0
Murphy et al. 2018,DS1,DOC_Interp,Cfb,Temperate,fourmile_canyon,MTBS_2010Ws,lnR1,-0.09253034556904192,319.860595703125,Moderate,16.3095,1
Murphy et al. 2018,DS1,DOC_Interp,Cfb,Temperate,fourmile_canyon,MTBS_2010Ws,lnR1,-0.4059504771372809,319.860595703125,Moderate,16.3095,2
Murphy et al. 2018,DS1,DOC_Interp,Cfb,Temperate,fourmile_canyon,MTBS_2010Ws,lnR1,-0.4838929792642086,319.860595703125,Moderate,16.3095,3
Murphy et al. 2018,DS1,DOC_Interp,Cfb,Temperate,fourmile_canyon,MTBS_2010Ws,lnR1,-0.3881077782646473,319.860595703125,Moderate,16.3095,4
Murphy et al. 2018,DS1,DOC_Interp,Cfb,Temperate,fourmile_canyon,MTBS_2010Ws,lnR1,-0.3676420649753068,319.860595703125,Moderate,16.3095,5
Murphy et al. 2018,DS1,NO3_Interp,Cfb,Temperate,fourmile_canyon,MTBS_2010Ws,lnR1,-0.9251679798500448,319.860595703125,Moderate,16.3095,0
Murphy et al. 2018,DS1,NO3_Interp,Cfb,Temperate,fourmile_canyon,MTBS_2010Ws,lnR1,0.34874637041195555,319.860595703125,Moderate,16.3095,1
Murphy et al. 2018,DS1,NO3_Interp,Cfb,Temperate,fourmile_canyon,MTBS_2010Ws,lnR1,0.4896719200329616,319.860595703125,Moderate,16.3095,2
Murphy et al. 2018,DS1,NO3_Interp,Cfb,Temperate,fourmile_canyon,MTBS_2010Ws,lnR1,0.5260874760635659,319.860595703125,Moderate,16.3095,3
Murphy et al. 2018,DS1,NO3_Interp,Cfb,Temperate,fourmile_canyon,MTBS_2010Ws,lnR1,0.10679525211943049,319.860595703125,Moderate,16.3095,4
Murphy et al. 2018,DS1,NO3_Interp,Cfb,Temperate,fourmile_canyon,MTBS_2010Ws,lnR1,0.27085562181965056,319.860595703125,Moderate,16.3095,5
Murphy et al. 2018,DS2,DOC_Interp,Cfb,Temperate,fourmile_canyon,MTBS_2010Ws,lnR2,5.568617996321454e-4,301.2357482910156,Moderate,27.1144,0
