"","Effect Size","Watershed area","Maximum Watershed Elevation smooth","Watershed Slope","30-year Mean Air Temp","Organic Matter Mean","Baseflow Index","Soil Permeability","Watershed Burn Percentage","Burn Severity","Time Since Fire","Mean Bedrock Depth","Carbonate Residual Material","Non-Carbonate Residual Material","Silicic Residual Material","Glacial Till, Coarse-Textured","Saline Lake Sediment"
"Effect Size",1,NA,0.567926206390402,0.571533377015654,NA,NA,NA,NA,NA,NA,-0.492491290296622,NA,NA,NA,NA,NA,NA
"Watershed area",NA,1,-0.433155731044426,-0.437836865364624,-0.826023515622892,-0.349859079536236,-0.776297055280247,0.449690792504895,-0.357472193442921,NA,-0.442712655904346,0.458641177569965,NA,NA,NA,0.864778836789316,NA
"Maximum Watershed Elevation smooth",0.567926206390402,-0.433155731044426,1,0.713675439062352,NA,-0.447724502287847,NA,NA,-0.434631143124619,NA,NA,NA,-0.32210972795299,-0.327250519802916,0.359448546104937,NA,-0.32210972795299
"Watershed Slope",0.571533377015654,-0.437836865364624,0.713675439062352,1,0.309785011179622,NA,0.426488139055237,-0.304229783708832,NA,NA,NA,NA,NA,NA,NA,-0.412618763089648,NA
"30-year Mean Air Temp",NA,-0.826023515622892,NA,0.309785011179622,1,0.560247387666145,0.880503619399918,-0.614168136782982,0.644230713273206,NA,0.421526484893339,-0.610977810935805,NA,NA,NA,-0.965175858119736,NA
"Organic Matter Mean",NA,-0.349859079536236,-0.447724502287847,NA,0.560247387666145,1,0.732864635682615,-0.88966436907419,0.954622739581488,0.581282444384222,NA,NA,0.853389216855192,0.851613913883236,-0.784714382233642,-0.379530443622417,0.853389216855192
"Baseflow Index",NA,-0.776297055280247,NA,0.426488139055237,0.880503619399918,0.732864635682615,1,-0.886799001774002,0.828683394670657,0.39237839578639,NA,NA,0.605527867205349,0.601285082123845,-0.444433024511548,-0.859212056883992,0.605527867205349
"Soil Permeability",NA,0.449690792504895,NA,-0.304229783708832,-0.614168136782982,-0.88966436907419,-0.886799001774002,1,-0.957162631085907,-0.6989914332923,NA,NA,-0.900392378138033,-0.898582048686565,0.802434824343326,0.537025629548446,-0.900392378138033
"Watershed Burn Percentage",NA,-0.357472193442921,-0.434631143124619,NA,0.644230713273206,0.954622739581488,0.828683394670657,-0.957162631085907,1,0.555718853862563,NA,NA,0.858742708901179,0.857983927561943,-0.766842708279157,-0.507577249944313,0.85874270890118
"Burn Severity",NA,NA,NA,NA,NA,0.581282444384222,0.39237839578639,-0.6989914332923,0.555718853862563,1,-0.321578667568498,0.706299765428976,0.891054355028265,0.890052581333289,-0.914090898796961,NA,0.891054355028265
"Time Since Fire",-0.492491290296622,-0.442712655904346,NA,NA,0.421526484893339,NA,NA,NA,NA,-0.321578667568498,1,-0.43441188884159,NA,NA,0.340331186612215,-0.46018456584516,NA
"Mean Bedrock Depth",NA,0.458641177569965,NA,NA,-0.610977810935805,NA,NA,NA,NA,0.706299765428976,-0.43441188884159,1,0.430487676151979,0.433558250773728,-0.531924853795055,0.521658321273971,0.430487676151979
"Carbonate Residual Material",NA,NA,-0.32210972795299,NA,NA,0.853389216855192,0.605527867205349,-0.900392378138033,0.858742708901179,0.891054355028265,NA,0.430487676151979,1,0.999959609409963,-0.981974518717759,NA,1
"Non-Carbonate Residual Material",NA,NA,-0.327250519802916,NA,NA,0.851613913883236,0.601285082123845,-0.898582048686565,0.857983927561943,0.890052581333289,NA,0.433558250773728,0.999959609409963,1,-0.982868379040385,NA,0.999959609409962
"Silicic Residual Material",NA,NA,0.359448546104937,NA,NA,-0.784714382233642,-0.444433024511548,0.802434824343326,-0.766842708279157,-0.914090898796961,0.340331186612215,-0.531924853795055,-0.981974518717759,-0.982868379040385,1,NA,-0.981974518717758
"Glacial Till, Coarse-Textured",NA,0.864778836789316,NA,-0.412618763089648,-0.965175858119736,-0.379530443622417,-0.859212056883992,0.537025629548446,-0.507577249944313,NA,-0.46018456584516,0.521658321273971,NA,NA,NA,1,NA
"Saline Lake Sediment",NA,NA,-0.32210972795299,NA,NA,0.853389216855192,0.605527867205349,-0.900392378138033,0.85874270890118,0.891054355028265,NA,0.430487676151979,1,0.999959609409962,-0.981974518717758,NA,1
