Study_ID,Site,analyte,Time_Since_Fire,n
Coombs & Melack; 2013,Gaviota,NO3,1,5
Coombs & Melack; 2013,Rattlesnake,NO3,0,6
Coombs & Melack; 2013,Rattlesnake,NO3,1,5
Coombs & Melack; 2013,San Onofre,NO3,0,5
Coombs & Melack; 2013,San Onofre,NO3,1,5
Crandall et al. 2021,Benjamin Slough,DOC,0,7
Crandall et al. 2021,Benjamin Slough,NO3,0,11
Crandall et al. 2021,Dry Creek,DOC,0,8
Crandall et al. 2021,Dry Creek,NO3,0,11
Crandall et al. 2021,Hobble Creek Lower,DOC,0,7
Crandall et al. 2021,Hobble Creek Lower,NO3,0,12
Crandall et al. 2021,Hobble Creek Upper,DOC,0,2
Crandall et al. 2021,Mill Race,DOC,0,2
Crandall et al. 2021,Mill Race,NO3,0,1
Crandall et al. 2021,Payson,DOC,0,5
Crandall et al. 2021,Payson,NO3,0,10
Crandall et al. 2021,Provo River,DOC,0,8
Crandall et al. 2021,Provo River,NO3,0,12
Crandall et al. 2021,Spanish Fork Lower,DOC,0,6
Crandall et al. 2021,Spanish Fork Lower,NO3,0,9
Crandall et al. 2021,Spanish Fork Upper,DOC,0,8
Crandall et al. 2021,Spanish Fork Upper,NO3,0,11
Gerla & Galloway; 1998,Crow Creek,NO3,1,14
Gerla & Galloway; 1998,Crow Creek,NO3,2,11
Gerla & Galloway; 1998,Crow Creek,NO3,3,12
Gerla & Galloway; 1998,Crow Creek,NO3,4,12
Gerla & Galloway; 1998,Crow Creek,NO3,5,12
Gerla & Galloway; 1998,Jones Creek,NO3,1,14
Gerla & Galloway; 1998,Jones Creek,NO3,2,11
Gerla & Galloway; 1998,Jones Creek,NO3,3,12
Gerla & Galloway; 1998,Jones Creek,NO3,4,12
Gerla & Galloway; 1998,Jones Creek,NO3,5,12
Gluns & Toews; 1989,East Fork,NO3,0,5
Gluns & Toews; 1989,East Fork,NO3,1,13
Gluns & Toews; 1989,East Fork,NO3,2,17
Gluns & Toews; 1989,East Fork,NO3,3,12
Gluns & Toews; 1989,Middle Fork,NO3,0,5
Gluns & Toews; 1989,Middle Fork,NO3,1,14
Gluns & Toews; 1989,Middle Fork,NO3,2,14
Gluns & Toews; 1989,Middle Fork,NO3,3,9
Gluns & Toews; 1989,West Fork,NO3,0,4
Gluns & Toews; 1989,West Fork,NO3,1,14
Gluns & Toews; 1989,West Fork,NO3,2,13
Gluns & Toews; 1989,West Fork,NO3,3,14
Hauer & Spencer 1998,Akokala_Creek,NO3,1,5
Hauer & Spencer 1998,Akokala_Creek,NO3,2,5
Hauer & Spencer 1998,Akokala_Creek,NO3,3,4
Hauer & Spencer 1998,Akokala_Creek,NO3,5,5
Hauer & Spencer 1998,Bowman_Creek,NO3,3,4
Hauer & Spencer 1998,Bowman_Creek,NO3,5,5
Hauer & Spencer 1998,Coal_Creek,NO3,1,5
Hauer & Spencer 1998,Coal_Creek,NO3,3,4
Hauer & Spencer 1998,Coal_Creek,NO3,5,5
Hauer & Spencer 1998,Logging_Creek,NO3,1,9
Hauer & Spencer 1998,Logging_Creek,NO3,2,10
Hauer & Spencer 1998,Logging_Creek,NO3,3,8
Hauer & Spencer 1998,Logging_Creek,NO3,5,9
Hauer & Spencer 1998,Quartz_Creek,NO3,1,5
Hauer & Spencer 1998,Quartz_Creek,NO3,2,5
Hauer & Spencer 1998,Quartz_Creek,NO3,3,4
Hauer & Spencer 1998,Red_Bench_Creek,NO3,1,5
Hauer & Spencer 1998,Red_Bench_Creek,NO3,3,4
Hauer & Spencer 1998,Red_Bench_Creek,NO3,5,5
Hauer & Spencer 1998,Red_Meadow_Creek,NO3,1,5
Hauer & Spencer 1998,Red_Meadow_Creek,NO3,3,4
Hauer & Spencer 1998,Red_Meadow_Creek,NO3,5,5
Hauer & Spencer 1998,Wally_Creek ,NO3,1,5
Hauer & Spencer 1998,Wally_Creek ,NO3,3,4
Hauer & Spencer 1998,Wally_Creek ,NO3,5,5
Hickenbottom et al. 2023,Cold_Creek,DOC,0,2
Hickenbottom et al. 2023,Cold_Creek,DOC,1,11
Hickenbottom et al. 2023,Cold_Creek,NO3,0,2
Hickenbottom et al. 2023,Cold_Creek,NO3,1,11
Hickenbottom et al. 2023,Middle_Fork,DOC,0,4
Hickenbottom et al. 2023,Middle_Fork,NO3,0,4
Hickenbottom et al. 2023,North_Fork,DOC,0,4
Hickenbottom et al. 2023,North_Fork,NO3,0,4
Hickenbottom et al. 2023,Trout_Creek,DOC,0,13
Hickenbottom et al. 2023,Trout_Creek,DOC,1,74
Hickenbottom et al. 2023,Trout_Creek,DOC,2,38
Hickenbottom et al. 2023,Trout_Creek,NO3,0,13
Hickenbottom et al. 2023,Trout_Creek,NO3,1,74
Hickenbottom et al. 2023,Trout_Creek,NO3,2,38
Mast & Clow; 2008,Coal,DOC,1,31
Mast & Clow; 2008,Coal,DOC,2,19
Mast & Clow; 2008,Coal,DOC,3,21
Mast & Clow; 2008,Coal,DOC,4,10
Mast & Clow; 2008,Coal,NO3,1,31
Mast & Clow; 2008,Coal,NO3,2,26
Mast & Clow; 2008,Coal,NO3,3,21
Mast & Clow; 2008,Coal,NO3,4,13
Mast & Clow; 2008,Fish Creek,NO3,1,1
Mast & Clow; 2008,Fish Creek,NO3,2,17
Mast & Clow; 2008,Fish Creek,NO3,3,16
Mast & Clow; 2008,Fish Creek,NO3,4,9
Mast & Clow; 2008,Lower MacDonald Creek,NO3,2,19
Mast & Clow; 2008,Lower MacDonald Creek,NO3,3,16
Mast & Clow; 2008,Lower MacDonald Creek,NO3,4,9
Mast & Clow; 2008,Pinchot,DOC,1,35
Mast & Clow; 2008,Pinchot,DOC,2,18
Mast & Clow; 2008,Pinchot,DOC,3,17
Mast & Clow; 2008,Pinchot,DOC,4,11
Mast & Clow; 2008,Pinchot,NO3,1,35
Mast & Clow; 2008,Pinchot,NO3,2,33
Mast & Clow; 2008,Pinchot,NO3,3,18
Mast & Clow; 2008,Pinchot,NO3,4,16
Mast & Clow; 2008,Upper MacDonald Creek,NO3,2,17
Mast & Clow; 2008,Upper MacDonald Creek,NO3,3,15
Mast & Clow; 2008,Upper MacDonald Creek,NO3,4,9
Murphy et al. 2018,DS1,DOC,0,52
Murphy et al. 2018,DS1,DOC,1,8
Murphy et al. 2018,DS1,DOC,2,26
Murphy et al. 2018,DS1,DOC,3,25
Murphy et al. 2018,DS1,DOC,4,18
Murphy et al. 2018,DS1,DOC,5,14
Murphy et al. 2018,DS1,NO3,0,52
Murphy et al. 2018,DS1,NO3,1,8
Murphy et al. 2018,DS1,NO3,2,26
Murphy et al. 2018,DS1,NO3,3,25
Murphy et al. 2018,DS1,NO3,4,18
Murphy et al. 2018,DS1,NO3,5,14
Murphy et al. 2018,DS2,DOC,0,51
Murphy et al. 2018,DS2,DOC,1,8
Murphy et al. 2018,DS2,DOC,2,31
Murphy et al. 2018,DS2,DOC,3,28
