Study_ID,DOI,Design (Control/Burn; Pre/Post),Latitude,Longitude,Area_watershed,Area_unit,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.400,-121.433,134.000,km,Control ,Dfc,Scotty Creek,5/16,Unburn,,Individual,13.17460317,mg_C_L,,,,,,,Figure 4,This paper is from Northwest Territories of Canada and is in burned and unburned sites in peatland-rich catchments. Just want to make a note to make sure that these regimes aren't different enough from the other ones that I would have to toss this out
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.400,-121.433,134.000,km,Control ,Dfc,Scotty Creek,5/16,Unburn,,Individual,12.11640212,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.400,-121.433,134.000,km,Control ,Dfc,Scotty Creek,5/16,Unburn,,Individual,14.1005291,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.400,-121.433,134.000,km,Control ,Dfc,Scotty Creek,5/16,Unburn,,Individual,14.1005291,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.400,-121.433,134.000,km,Control ,Dfc,Scotty Creek,5/16,Unburn,,Individual,15.82010582,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.400,-121.433,134.000,km,Control ,Dfc,Scotty Creek,5/16,Unburn,,Individual,17.67195767,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.400,-121.433,134.000,km,Control ,Dfc,Scotty Creek,6/16,Unburn,,Individual,17.67195767,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.400,-121.433,134.000,km,Control ,Dfc,Scotty Creek,6/16,Unburn,,Individual,19.12698413,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.400,-121.433,134.000,km,Control ,Dfc,Scotty Creek,6/16,Unburn,,Individual,20.05291005,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.400,-121.433,134.000,km,Control ,Dfc,Scotty Creek,7/16,Unburn,,Individual,25.60846561,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.400,-121.433,134.000,km,Control ,Dfc,Scotty Creek,7/16,Unburn,,Individual,25.60846561,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.400,-121.433,134.000,km,Control ,Dfc,Scotty Creek,7/16,Unburn,,Individual,30.5026455,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.400,-121.433,134.000,km,Control ,Dfc,Scotty Creek,8/16,Unburn,,Individual,26.66666667,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.400,-121.433,134.000,km,Control ,Dfc,Scotty Creek,8/16,Unburn,,Individual,24.94708995,mg_C_L,,,,,,,Figure 4,
