predictor,raw_fi,analyte,fi,fi100
climate,10.368269394975997,no3,0.11556644948371779,11.55664494837178
totdasqkm,4.342597544982578,no3,0.04840331213360683,4.840331213360683
maxelevsmo,11.01190434295723,no3,0.122740511312963,12.2740511312963
slope,3.9183053015943634,no3,0.04367408045145001,4.367408045145002
tmean9120ws,9.891160505826294,no3,0.110248514712186,11.0248514712186
om_ws,7.389447681056149,no3,0.08236400884405531,8.236400884405532
bfi_ws,17.73478718823862,no3,0.19767487799720784,19.767487799720783
perm_ws,9.99987108944256,no3,0.11146022089874809,11.146022089874808
burn_percentage,4.908767743741459,no3,0.05471393902624518,5.471393902624518
mean_dnbr,5.220583101700929,no3,0.058189484697476646,5.8189484697476646
time_since_fire,4.931256321530606,no3,0.05496460044234317,5.4964600442343174
climate,0.12072049690646923,doc,0.007521311924639421,0.7521311924639421
totdasqkm,1.9785317081749272,doc,0.12326949036254194,12.326949036254193
maxelevsmo,2.0529717625097303,doc,0.127907367795841,12.7907367795841
slope,1.6310876299899164,doc,0.10162250119861452,10.162250119861453
tmean9120ws,2.3594295310804214,doc,0.14700076558838773,14.700076558838774
om_ws,0.6987539229062261,doc,0.04353482919155824,4.353482919155824
bfi_ws,2.0436118768263807,doc,0.12732421396855031,12.732421396855031
perm_ws,1.9466785437234873,doc,0.1212849260858414,12.128492608584141
burn_percentage,0.7530506264727045,doc,0.04691770496218706,4.691770496218705
mean_dnbr,2.195019457219304,doc,0.1367574392208651,13.675743922086511
time_since_fire,0.2706018798134963,doc,0.01685944970097307,1.685944970097307
