variable,category,description
site,Site ID,Your site identifier
comid,Site ID,NHDPlus Common Identifier for the flowline
longitude,Site ID,Site longitude (NAD83)
latitude,Site ID,Site latitude (NAD83)
objectid,Basic,Internal NHD object ID
fdate,Basic,Feature date (last modified)
resolution,Basic,NHD resolution (Medium or High)
gnis_id,Basic,Geographic Names Information System ID
gnis_name,Basic,Official stream or river name
lengthkm,Basic,Flowline length in km
reachcode,Basic,14-digit NHD reach code
flowdir,Basic,Flow direction (0 = uninitialized; 1 = with digitized)
wbareacomi,Basic,COMID of associated waterbody if flowline passes through a lake
ftype,Basic,Feature type (e.g. StreamRiver ArtificialPath CanalDitch)
fcode,Basic,Numeric feature code (more detailed than ftype)
shape_length,Basic,Geometric length in native units
streamleve,Topology,Stream level (1 = mainstem to ocean)
streamorde,Topology,Strahler stream order (modified)
streamcalc,Topology,Calculated stream order (excludes divergent paths)
fromnode,Topology,Upstream node ID
tonode,Topology,Downstream node ID
hydroseq,Topology,Hydrologic sequence number for network navigation
levelpathi,Topology,Level path identifier for mainstem tracking
pathlength,Topology,Distance to terminal flowline in km
terminalpa,Topology,Terminal path identifier (outlet)
arbolatesu,Topology,Arbolate sum - total upstream flowline length in km
divergence,Topology,0 = not divergent; 1 = main; 2 = minor path
startflag,Topology,1 = headwater flowline
terminalfl,Topology,1 = terminal (most downstream) flowline
dnlevel,Topology,Downstream stream level
uplevelpat,Topology,Upstream level path
uphydroseq,Topology,Upstream hydrologic sequence
dnlevelpat,Topology,Downstream level path
dnminorhyd,Topology,Downstream minor hydrosequence
dndraincou,Topology,Downstream drainage count
dnhydroseq,Topology,Downstream hydrologic sequence
frommeas,Topology,Reach measure at from-node (0-100)
tomeas,Topology,Reach measure at to-node (0-100)
rtndiv,Topology,Return divergence flag
vpuin,Topology,Flag for flowlines entering VPU
vpuout,Topology,Flag for flowlines leaving VPU
areasqkm,Drainage,Local catchment area in km2
totdasqkm,Drainage,Total upstream drainage area in km2 (KEY VARIABLE)
divdasqkm,Drainage,Divergence-routed drainage area in km2
tidal,Drainage,1 = tidally influenced
totma,Drainage,Total cumulative mean annual flow parameter
wbareatype,Drainage,Waterbody area type
pathtimema,Drainage,Mean annual travel time along path
hwnodesqkm,Drainage,Headwater node drainage area in km2
maxelevraw,Elevation,Raw maximum elevation in cm
minelevraw,Elevation,Raw minimum elevation in cm
maxelevsmo,Elevation,Smoothed maximum elevation in cm (used for slope)
minelevsmo,Elevation,Smoothed minimum elevation in cm (used for slope)
slope,Elevation,Flowline slope in m/m (KEY VARIABLE; -9998 = no data)
elevfixed,Elevation,Elevation fix flag
hwtype,Elevation,Headwater type
slopelenkm,Elevation,Length used in slope calculation in km
qa_ma,Flow,Gage-adjusted mean annual flow in cfs (KEY VARIABLE)
va_ma,Flow,Gage-adjusted mean annual velocity in ft/s
qc_ma,Flow,Reference (gage) mean annual flow in cfs
vc_ma,Flow,Reference mean annual velocity in ft/s
qe_ma,Flow,EROM-estimated mean annual flow unadjusted in cfs
ve_ma,Flow,EROM mean annual velocity unadjusted in ft/s
qa_01,Flow,Gage-adjusted January flow in cfs
va_01,Flow,Gage-adjusted January velocity in ft/s
qc_01,Flow,Reference January flow in cfs
vc_01,Flow,Reference January velocity in ft/s
qe_01,Flow,EROM January flow unadjusted in cfs
ve_01,Flow,EROM January velocity unadjusted in ft/s
qa_02,Flow,Gage-adjusted February flow in cfs
va_02,Flow,Gage-adjusted February velocity in ft/s
qc_02,Flow,Reference February flow in cfs
vc_02,Flow,Reference February velocity in ft/s
qe_02,Flow,EROM February flow unadjusted in cfs
