Study_ID,Fire_name,Fire_year,Site,comid,totdasqkm,streamorde,maxelevraw,minelevraw,maxelevsmo,minelevsmo,elevfixed,slope,burn_percentage,Climate,Biome,Time_Since_Fire,response_var,Effect_size,number_of_burn,State,group,latitude,longitude
Burd et al 2018,Northwest Territories Fire,2013,Notawohka Creek,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,90,Dfc,Cold,3,DOC_Interp,-0.8074667025846229,-9999,N/A,-9999,-9999,-9999
Coombs & Melack; 2013,Gaviota Fire,2004,San Onofre,17594757,5.3586,1,-9998,578,52417,578,0,0.13779638,98.9419,BSk,Arid,0,NO3_Interp,1.75295228052377,3,California,4,-9999,-9999
Coombs & Melack; 2013,Gaviota Fire,2004,Gaviota,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12,BSk,Arid,0,NO3_Interp,-2.0473966314124756,3,California,4,34.484966,-120.229926
Coombs & Melack; 2013,Gaviota Fire,2004,Arroyo Hondo,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18,BSk,Arid,0,NO3_Interp,-0.2030079720285851,3,California,4,-9999,-9999
Coombs & Melack; 2013,Gaviota Fire,2004,San Onofre,17594757,5.3586,1,-9998,578,52417,578,0,0.13779638,98.9419,BSk,Arid,1,NO3_Interp,1.702459542946486,3,California,4,-9999,-9999
Coombs & Melack; 2013,Gaviota Fire,2004,Gaviota,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12,BSk,Arid,1,NO3_Interp,-1.8565999926447945,3,California,4,34.484966,-120.229926
Coombs & Melack; 2013,Gaviota Fire,2004,Arroyo Hondo,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18,BSk,Arid,1,NO3_Interp,0.17335251790747283,3,California,4,-9999,-9999
Gerla & Galloway; 1998,Clover-Mist Wildfire,1988,Jones Creek,12794005,64.9602,1,-9998,208560,214565,208560,1,0.03628398,96.1969,Dfc,Cold,1,NO3_Interp,-0.9404498708553406,1,Wyoming,63,-9999,-9999
Gerla & Galloway; 1998,Clover-Mist Wildfire,1988,Jones Creek,12794005,64.9602,1,-9998,208560,214565,208560,1,0.03628398,96.1969,Dfc,Cold,2,NO3_Interp,0.8469826044301482,1,Wyoming,63,-9999,-9999
Gerla & Galloway; 1998,Clover-Mist Wildfire,1988,Jones Creek,12794005,64.9602,1,-9998,208560,214565,208560,1,0.03628398,96.1969,Dfc,Cold,3,NO3_Interp,0.9767219657876396,1,Wyoming,63,-9999,-9999
Gerla & Galloway; 1998,Clover-Mist Wildfire,1988,Jones Creek,12794005,64.9602,1,-9998,208560,214565,208560,1,0.03628398,96.1969,Dfc,Cold,4,NO3_Interp,1.3512432699490873,1,Wyoming,63,-9999,-9999
Gerla & Galloway; 1998,Clover-Mist Wildfire,1988,Jones Creek,12794005,64.9602,1,-9998,208560,214565,208560,1,0.03628398,96.1969,Dfc,Cold,5,NO3_Interp,0.8936477010811649,1,Wyoming,63,-9999,-9999
