site,latitude,longitude,comid
site1,39.0949532,-78.5713965,8433214
site2,32.1965992,-87.3643675,21455126
site3,40.6926227,-105.3287441,2899349
site4,33.7635058,-112.4059585,20417162
site5,41.8761389,-119.0470947,11301902
site6,40.591385,-105.071444,2900003
site7,40.201217,-74.762585,4481733
site8,41.01528,-96.15778,17416036
site9,43.954722,-71.722778,6729679
