Site,Time_Since_Fire,Count
Akokala Creek,1,1
Akokala Creek,2,1
Akokala Creek,3,1
Akokala Creek,4,1
Akokala Creek,5,1
Arroyo Hondo,0,1
Arroyo Hondo,1,1
Benjamin Slough,0,2
Bowman Creek,3,1
Bowman Creek,4,1
Bowman Creek,5,1
DS1,0,4
DS1,1,6
DS1,2,6
DS1,3,6
DS1,4,4
DS1,5,4
DS2,0,4
DS2,1,6
DS2,2,6
DS2,3,6
DS2,4,4
DS2,5,4
DS3,1,6
DS3,2,6
DS3,3,6
DS3,4,4
DS3,5,4
Gaviota,0,1
Gaviota,1,1
Jones Creek,1,1
Jones Creek,2,1
Jones Creek,3,1
Jones Creek,4,1
Jones Creek,5,1
PNF,0,2
PNF,1,3
PSF,0,2
PSF,1,3
Payson,0,2
Quartz Creek,1,1
Quartz Creek,2,1
Quartz Creek,3,1
Red Bench Creek,1,1
Red Bench Creek,2,1
Red Bench Creek,3,1
Red Bench Creek,4,1
Red Bench Creek,5,1
Red Meadow Creek,1,1
Red Meadow Creek,2,1
Red Meadow Creek,3,1
Red Meadow Creek,4,1
Red Meadow Creek,5,1
San Onofre,0,1
San Onofre,1,1
Site 2,1,1
Site 2,2,1
Site 3,1,1
Site 3,2,1
Spanish Fork Lower,0,2
Spanish Fork Upper,0,2
Wragg Fire,1,2
Wragg Fire,2,2
