solute,Study_ID,Comparison_ID,Sampling_Date,concentration_Burn,concentration_Unburn,concentration_ratio,Area_watershed_km_Burn,Area_watershed_km_Unburn,watershed_area_ratio
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-04-29,17.8042328,13.17460317,1.3514056226408528,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-04-30,17.645502642,12.96296296,1.3612244898368513,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-01,17.486772484,12.75132275,1.37136929453064,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-02,17.328042326000002,12.53968254,1.3818565398865355,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-03,17.169312168,12.32804233,1.3927038623333474,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-04,17.01058201,12.11640212,1.4039301305394443,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-05,16.878306877500002,12.612433865,1.3382275822542045,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-06,16.746031745,13.10846561,1.277497477067417,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-07,16.613756612499998,13.604497355,1.221195916245595,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-08,16.48148148,14.1005291,1.1688555346479872,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-09,16.128747793333332,14.1005291,1.1438398998327894,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-10,15.776014106666668,14.1005291,1.1188242650175921,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-11,15.42328042,14.1005291,1.0938086302023944,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-12,16.28306878,14.53042328,1.120619025765917,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-13,17.14285714,14.96031746,1.1458885939977907,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-14,18.0026455,15.39021164,1.1697464545068466,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-15,18.86243386,15.82010582,1.1923076921618214,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-16,19.171075836666667,16.43738977,1.1663090128613935,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-17,19.479717813333338,17.05467372,1.142192347572706,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-18,19.78835979,17.67195767,1.1197604792587759,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-19,19.7552910075,17.67195767,1.1178892218057241,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-20,19.722222225000003,17.67195767,1.1160179643526726,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-21,19.6891534425,17.67195767,1.114146706899621,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-22,19.65608466,17.67195767,1.1122754494465694,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-23,20.31746032,18.15696649,1.1189898010325623,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-24,20.97883598,18.64197531,1.1253547776531199,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-25,21.64021164,19.12698413,1.1313969569336386,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-26,21.772486772,19.312169314,1.1273972601418962,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-27,21.904761904,19.497354498,1.1234735413077168,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-28,22.037037036,19.682539682,1.1196236558919896,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-29,22.169312168,19.867724866,1.1158455393117885,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-30,22.3015873,20.05291005,1.112137203248463,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-05-31,22.309854495625,20.4001322725,1.0936132274837926,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-06-01,22.318121691250003,20.747354495,1.0757092764105685,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-06-02,22.326388886875,21.0945767175,1.0583947327254541,321,134,2.3955223880597014
DOC,Burd et al 2018,Burd_et_al_2018_C1,2016-06-03,22.3346560825,21.44179894,1.0416409623557452,321,134,2.3955223880597014
