Site,SampleDate,Conc,Units
Coal Creek,1/10/2004,0.328685259,mg NO3/L
Coal Creek,4/11/2004,0.833665339,mg NO3/L
Coal Creek,4/7/2004,0.800796813,mg NO3/L
Coal Creek,4/17/2004,0.797808765,mg NO3/L
Coal Creek,3/30/2004,0.729083665,mg NO3/L
Coal Creek,4/5/2004,0.702191235,mg NO3/L
Coal Creek,4/23/2004,0.720119522,mg NO3/L
Coal Creek,4/26/2004,0.747011952,mg NO3/L
Coal Creek,4/30/2004,0.669322709,mg NO3/L
Coal Creek,5/3/2004,0.585657371,mg NO3/L
Coal Creek,5/7/2004,0.507968127,mg NO3/L
Coal Creek,5/7/2004,0.499003984,mg NO3/L
Coal Creek,5/15/2004,0.427290837,mg NO3/L
Coal Creek,5/22/2004,0.34063745,mg NO3/L
Coal Creek,5/29/2004,0.334661355,mg NO3/L
Coal Creek,6/6/2004,0.268924303,mg NO3/L
Coal Creek,6/10/2004,0.271912351,mg NO3/L
Coal Creek,6/16/2004,0.256972112,mg NO3/L
Coal Creek,7/1/2004,0.253984064,mg NO3/L
Coal Creek,7/9/2004,0.24501992,mg NO3/L
Coal Creek,7/30/2004,0.239043825,mg NO3/L
Coal Creek,6/23/2004,0.170318725,mg NO3/L
Coal Creek,7/12/2004,0.155378486,mg NO3/L
Coal Creek,7/21/2004,0.125498008,mg NO3/L
Coal Creek,7/24/2004,0.164342629,mg NO3/L
Coal Creek,8/2/2004,0.179282869,mg NO3/L
Coal Creek,8/12/2004,0.176294821,mg NO3/L
Coal Creek,8/21/2004,0.164342629,mg NO3/L
Coal Creek,9/6/2004,0.152390438,mg NO3/L
Coal Creek,9/24/2004,0.295816733,mg NO3/L
Coal Creek,10/29/2004,0.19123506,mg NO3/L
Coal Creek,12/13/2004,0.448207171,mg NO3/L
Coal Creek,2/19/2005,0.496015936,mg NO3/L
Coal Creek,3/23/2005,0.388446215,mg NO3/L
Coal Creek,5/3/2005,0.493027888,mg NO3/L
Coal Creek,5/9/2005,0.507968127,mg NO3/L
Coal Creek,5/16/2005,0.501992032,mg NO3/L
Coal Creek,5/1/2005,0.400398406,mg NO3/L
Coal Creek,5/22/2005,0.38247012,mg NO3/L
Coal Creek,5/28/2005,0.337649402,mg NO3/L
Coal Creek,6/6/2005,0.280876494,mg NO3/L
Coal Creek,6/26/2005,0.274900398,mg NO3/L
Coal Creek,6/13/2005,0.227091633,mg NO3/L
Coal Creek,7/8/2005,0.098605578,mg NO3/L
Coal Creek,7/17/2005,0.089641434,mg NO3/L
Coal Creek,7/24/2005,0.071713147,mg NO3/L
Coal Creek,8/2/2005,0.080677291,mg NO3/L
Coal Creek,8/12/2005,0.086653386,mg NO3/L
Coal Creek,8/24/2005,0.083665339,mg NO3/L
Coal Creek,8/31/2005,0.089641434,mg NO3/L
Coal Creek,9/9/2005,0.059760956,mg NO3/L
Coal Creek,9/18/2005,0.071713147,mg NO3/L
Coal Creek,9/29/2005,0.188247012,mg NO3/L
Coal Creek,10/14/2005,0.140438247,mg NO3/L
Coal Creek,10/27/2005,0.176294821,mg NO3/L
Coal Creek,11/11/2005,0.158366534,mg NO3/L
Coal Creek,12/6/2005,0.179282869,mg NO3/L
Coal Creek,12/28/2005,0.212151394,mg NO3/L
Coal Creek,1/30/2006,0.24501992,mg NO3/L
Coal Creek,3/1/2006,0.227091633,mg NO3/L
Coal Creek,3/29/2006,0.24501992,mg NO3/L
Coal Creek,4/30/2006,0.230079681,mg NO3/L
Coal Creek,5/20/2006,0.194223108,mg NO3/L
Coal Creek,5/26/2006,0.200199203,mg NO3/L
Coal Creek,5/29/2006,0.239043825,mg NO3/L
Coal Creek,6/7/2006,0.140438247,mg NO3/L
Coal Creek,6/4/2006,0.101593625,mg NO3/L
Coal Creek,6/13/2006,0.101593625,mg NO3/L
Coal Creek,6/22/2006,0.080677291,mg NO3/L
Coal Creek,7/2/2006,0.080677291,mg NO3/L
Coal Creek,7/6/2006,0.0687251,mg NO3/L
Coal Creek,7/15/2006,0.029880478,mg NO3/L
Coal Creek,7/27/2006,0.023904382,mg NO3/L
Coal Creek,8/9/2006,0.038844622,mg NO3/L
Coal Creek,8/22/2006,0.035856574,mg NO3/L
Coal Creek,9/6/2006,0.02689243,mg NO3/L
Coal Creek,9/20/2006,0.023904382,mg NO3/L
Coal Creek,11/8/2006,0.131474104,mg NO3/L
Coal Creek,12/29/2006,0.224103586,mg NO3/L
Coal Creek,3/9/2007,0.188247012,mg NO3/L
Coal Creek,4/25/2007,0.185258964,mg NO3/L
Coal Creek,5/22/2007,0.215139442,mg NO3/L
Coal Creek,5/11/2007,0.31374502,mg NO3/L
Coal Creek,5/30/2007,0.155378486,mg NO3/L
Coal Creek,6/5/2007,0.131474104,mg NO3/L
Coal Creek,6/20/2007,0.09561753,mg NO3/L
Coal Creek,7/5/2007,0.065737052,mg NO3/L
Coal Creek,7/18/2007,0.047808765,mg NO3/L
Coal Creek,8/1/2007,0.0687251,mg NO3/L
Coal Creek,8/13/2007,0.059760956,mg NO3/L
Coal Creek,8/31/2007,0.032868526,mg NO3/L
Coal Creek,9/11/2007,0.038844622,mg NO3/L
Pinchot Creek,1/5/2004,0.065737052,mg NO3/L
Pinchot Creek,3/30/2004,0.09561753,mg NO3/L
Pinchot Creek,4/4/2004,0.077689243,mg NO3/L
Pinchot Creek,4/10/2004,0.071713147,mg NO3/L
Pinchot Creek,4/21/2004,0.065737052,mg NO3/L
Pinchot Creek,3/30/2004,0.071713147,mg NO3/L
Pinchot Creek,4/17/2004,0.119521912,mg NO3/L
Pinchot Creek,4/13/2004,0.119521912,mg NO3/L
Pinchot Creek,4/27/2004,0.110557769,mg NO3/L
Pinchot Creek,4/26/2004,0.09561753,mg NO3/L
Pinchot Creek,5/2/2004,0.143426295,mg NO3/L
Pinchot Creek,5/3/2004,0.134462151,mg NO3/L
Pinchot Creek,5/7/2004,0.116533865,mg NO3/L
Pinchot Creek,4/29/2004,0.155378486,mg NO3/L
Pinchot Creek,5/27/2004,0.167330677,mg NO3/L
Pinchot Creek,6/6/2004,0.143426295,mg NO3/L
Pinchot Creek,5/29/2004,0.119521912,mg NO3/L
Pinchot Creek,5/21/2004,0.242031873,mg NO3/L
Pinchot Creek,5/13/2004,0.221115538,mg NO3/L
Pinchot Creek,6/22/2004,0.134462151,mg NO3/L
Pinchot Creek,6/13/2004,0.110557769,mg NO3/L
Pinchot Creek,6/20/2004,0.104581673,mg NO3/L
Pinchot Creek,6/28/2004,0.107569721,mg NO3/L
Pinchot Creek,6/28/2004,0.092629482,mg NO3/L
Pinchot Creek,7/7/2004,0.080677291,mg NO3/L
Pinchot Creek,7/11/2004,0.077689243,mg NO3/L
Pinchot Creek,7/14/2004,0.053784861,mg NO3/L
Pinchot Creek,7/20/2004,0.053784861,mg NO3/L
Pinchot Creek,7/26/2004,0.050796813,mg NO3/L
Pinchot Creek,8/2/2004,0.041832669,mg NO3/L
Pinchot Creek,8/6/2004,0.035856574,mg NO3/L
Pinchot Creek,8/11/2004,0.02689243,mg NO3/L
Pinchot Creek,8/18/2004,0.023904382,mg NO3/L
Pinchot Creek,8/24/2004,0.023904382,mg NO3/L
Pinchot Creek,9/22/2004,0.032868526,mg NO3/L
Pinchot Creek,10/29/2004,0.02689243,mg NO3/L
Pinchot Creek,12/13/2004,0.056772908,mg NO3/L
Pinchot Creek,2/19/2005,0.0687251,mg NO3/L
Pinchot Creek,3/23/2005,0.071713147,mg NO3/L
Pinchot Creek,4/27/2005,0.065737052,mg NO3/L
Pinchot Creek,5/1/2005,0.074701195,mg NO3/L
Pinchot Creek,5/3/2005,0.089641434,mg NO3/L
Pinchot Creek,5/9/2005,0.101593625,mg NO3/L
Pinchot Creek,5/9/2005,0.143426295,mg NO3/L
Pinchot Creek,5/15/2005,0.134462151,mg NO3/L
Pinchot Creek,5/22/2005,0.134462151,mg NO3/L
Pinchot Creek,5/31/2005,0.131474104,mg NO3/L
Pinchot Creek,6/6/2005,0.12250996,mg NO3/L
Pinchot Creek,6/11/2005,0.107569721,mg NO3/L
Pinchot Creek,6/16/2005,0.14940239,mg NO3/L
Pinchot Creek,6/29/2005,0.137450199,mg NO3/L
Pinchot Creek,6/22/2005,0.0687251,mg NO3/L
Pinchot Creek,7/8/2005,0.062749004,mg NO3/L
Pinchot Creek,7/9/2005,0.044820717,mg NO3/L
Pinchot Creek,7/18/2005,0.032868526,mg NO3/L
Pinchot Creek,7/25/2005,0.023904382,mg NO3/L
Pinchot Creek,7/28/2005,0.023904382,mg NO3/L
Pinchot Creek,7/31/2005,0.023904382,mg NO3/L
Pinchot Creek,8/8/2005,0.020916335,mg NO3/L
Pinchot Creek,8/12/2005,0.014940239,mg NO3/L
Pinchot Creek,8/27/2005,0.014940239,mg NO3/L
Pinchot Creek,8/18/2005,0.020916335,mg NO3/L
Pinchot Creek,8/31/2005,0.020916335,mg NO3/L
Pinchot Creek,9/7/2005,0.014940239,mg NO3/L
Pinchot Creek,9/15/2005,0.014940239,mg NO3/L
Pinchot Creek,9/28/2005,0.074701195,mg NO3/L
Pinchot Creek,10/10/2005,0.053784861,mg NO3/L
Pinchot Creek,10/26/2005,0.050796813,mg NO3/L
Pinchot Creek,11/9/2005,0.059760956,mg NO3/L
Pinchot Creek,12/4/2005,0.0687251,mg NO3/L
Pinchot Creek,12/26/2005,0.074701195,mg NO3/L
Pinchot Creek,1/28/2006,0.050796813,mg NO3/L
