Site,SampleDate,Conc,Units,DateTime
Coal Creek,9/6/2006,0.02689243,mg NO3/L,2006-09-06
Pinchot Creek,9/7/2006,0.005976096,mg NO3/L,2006-09-07
Fish Creek,9/8/2006,0.032899752,mg N/L,2006-09-08
Lower MacDonald Creek,9/8/2006,0.136673337,mg N/L,2006-09-08
Upper MacDonald Creek,9/8/2006,0.16183057,mg N/L,2006-09-08
Pinchot Creek,9/18/2006,0.002988048,mg NO3/L,2006-09-18
Coal Creek,9/20/2006,0.023904382,mg NO3/L,2006-09-20
Pinchot Creek,10/20/2006,0.410869565,mg/L,2006-10-20
Coal Creek,10/22/2006,0.808695652,mg/L,2006-10-22
Upper MacDonald Creek,10/27/2006,0.227973128,mg N/L,2006-10-27
Lower MacDonald Creek,10/28/2006,0.149359158,mg N/L,2006-10-28
Fish Creek,10/29/2006,0.117914999,mg N/L,2006-10-29
Pinchot Creek,11/5/2006,0.014940239,mg NO3/L,2006-11-05
Coal Creek,11/8/2006,0.131474104,mg NO3/L,2006-11-08
Pinchot Creek,12/11/2006,0.508695652,mg/L,2006-12-11
Coal Creek,12/13/2006,0.808695652,mg/L,2006-12-13
Upper MacDonald Creek,12/18/2006,0.331858681,mg N/L,2006-12-18
Lower MacDonald Creek,12/20/2006,0.231234515,mg N/L,2006-12-20
Fish Creek,12/21/2006,0.154192872,mg N/L,2006-12-21
Pinchot Creek,12/26/2006,0.038844622,mg NO3/L,2006-12-26
Coal Creek,12/29/2006,0.224103586,mg NO3/L,2006-12-29
Pinchot Creek,02/19/2007,0.410869565,mg/L,2007-02-19
Coal Creek,02/21/2007,0.710869565,mg/L,2007-02-21
Lower MacDonald Creek,2/23/2007,0.228230417,mg N/L,2007-02-23
Fish Creek,2/24/2007,0.104018963,mg N/L,2007-02-24
Upper MacDonald Creek,2/24/2007,0.281691919,mg N/L,2007-02-24
Pinchot Creek,3/6/2007,0.032868526,mg NO3/L,2007-03-06
Coal Creek,3/9/2007,0.188247012,mg NO3/L,2007-03-09
Fish Creek,4/14/2007,0.115130074,mg N/L,2007-04-14
Upper MacDonald Creek,4/14/2007,0.439029445,mg N/L,2007-04-14
Lower MacDonald Creek,4/15/2007,0.229912331,mg N/L,2007-04-15
Pinchot Creek,04/23/2007,0.808695652,mg/L,2007-04-23
Coal Creek,4/25/2007,0.185258964,mg NO3/L,2007-04-25
Pinchot Creek,4/25/2007,0.047808765,mg NO3/L,2007-04-25
Coal Creek,04/25/2007,1.715217391,mg/L,2007-04-25
Lower MacDonald Creek,4/26/2007,0.229936154,mg N/L,2007-04-26
Upper MacDonald Creek,4/28/2007,0.563274252,mg N/L,2007-04-28
Fish Creek,4/29/2007,0.151326949,mg N/L,2007-04-29
Pinchot Creek,05/06/2007,0.808695652,mg/L,2007-05-06
Pinchot Creek,5/7/2007,0.137450199,mg NO3/L,2007-05-07
Coal Creek,05/07/2007,1.408695652,mg/L,2007-05-07
Coal Creek,5/11/2007,0.31374502,mg NO3/L,2007-05-11
Lower MacDonald Creek,5/12/2007,0.240975796,mg N/L,2007-05-12
Fish Creek,5/13/2007,0.09632409,mg N/L,2007-05-13
Upper MacDonald Creek,5/13/2007,0.406072518,mg N/L,2007-05-13
Pinchot Creek,5/17/2007,0.140438247,mg NO3/L,2007-05-17
Pinchot Creek,05/20/2007,0.508695652,mg/L,2007-05-20
Coal Creek,5/22/2007,0.215139442,mg NO3/L,2007-05-22
Coal Creek,05/22/2007,1.004347826,mg/L,2007-05-22
Pinchot Creek,5/23/2007,0.137450199,mg NO3/L,2007-05-23
Lower MacDonald Creek,5/25/2007,0.237859729,mg N/L,2007-05-25
Pinchot Creek,5/26/2007,0.12250996,mg NO3/L,2007-05-26
Fish Creek,5/27/2007,0.039751286,mg N/L,2007-05-27
Upper MacDonald Creek,5/27/2007,0.286606632,mg N/L,2007-05-27
Coal Creek,5/30/2007,0.155378486,mg NO3/L,2007-05-30
Pinchot Creek,6/2/2007,0.071713147,mg NO3/L,2007-06-02
Pinchot Creek,06/02/2007,0.404347826,mg/L,2007-06-02
Coal Creek,06/04/2007,0.906521739,mg/L,2007-06-04
Coal Creek,6/5/2007,0.131474104,mg NO3/L,2007-06-05
Lower MacDonald Creek,6/7/2007,0.233171336,mg N/L,2007-06-07
Upper MacDonald Creek,6/7/2007,0.165561273,mg N/L,2007-06-07
Fish Creek,6/10/2007,0.0539332,mg N/L,2007-06-10
Pinchot Creek,6/11/2007,0.080677291,mg NO3/L,2007-06-11
Pinchot Creek,06/16/2007,0.515217391,mg/L,2007-06-16
Pinchot Creek,06/17/2007,0.404347826,mg/L,2007-06-17
Coal Creek,06/18/2007,0.906521739,mg/L,2007-06-18
Coal Creek,06/18/2007,0.710869565,mg/L,2007-06-18
Pinchot Creek,6/19/2007,0.059760956,mg NO3/L,2007-06-19
Coal Creek,6/20/2007,0.09561753,mg NO3/L,2007-06-20
Lower MacDonald Creek,6/24/2007,0.204905184,mg N/L,2007-06-24
Upper MacDonald Creek,6/24/2007,0.119999524,mg N/L,2007-06-24
Fish Creek,6/27/2007,0.075981513,mg N/L,2007-06-27
Pinchot Creek,6/29/2007,0.038844622,mg NO3/L,2007-06-29
Coal Creek,7/5/2007,0.065737052,mg NO3/L,2007-07-05
Pinchot Creek,7/6/2007,0.047808765,mg NO3/L,2007-07-06
Lower MacDonald Creek,7/8/2007,0.178206594,mg N/L,2007-07-08
Upper MacDonald Creek,7/9/2007,0.102737278,mg N/L,2007-07-09
Fish Creek,7/10/2007,0.042991233,mg N/L,2007-07-10
Pinchot Creek,07/13/2007,0.215217391,mg/L,2007-07-13
Pinchot Creek,7/15/2007,0.029880478,mg NO3/L,2007-07-15
Coal Creek,07/15/2007,0.508695652,mg/L,2007-07-15
Coal Creek,7/18/2007,0.047808765,mg NO3/L,2007-07-18
Pinchot Creek,07/28/2007,0.306521739,mg/L,2007-07-28
Coal Creek,07/29/2007,0.606521739,mg/L,2007-07-29
Pinchot Creek,7/31/2007,0.014940239,mg NO3/L,2007-07-31
Coal Creek,8/1/2007,0.0687251,mg NO3/L,2007-08-01
Upper MacDonald Creek,8/2/2007,0.138953211,mg N/L,2007-08-02
Lower MacDonald Creek,8/4/2007,0.16725748,mg N/L,2007-08-04
Fish Creek,8/5/2007,0.043046026,mg N/L,2007-08-05
Pinchot Creek,8/10/2007,0.014940239,mg NO3/L,2007-08-10
Coal Creek,8/13/2007,0.059760956,mg NO3/L,2007-08-13
Pinchot Creek,08/13/2007,0.306521739,mg/L,2007-08-13
Coal Creek,08/15/2007,0.606521739,mg/L,2007-08-15
Pinchot Creek,08/25/2007,0.410869565,mg/L,2007-08-25
Pinchot Creek,8/26/2007,0.005976096,mg NO3/L,2007-08-26
Coal Creek,08/27/2007,0.606521739,mg/L,2007-08-27
Coal Creek,8/31/2007,0.032868526,mg NO3/L,2007-08-31
Pinchot Creek,9/9/2007,0.008964143,mg NO3/L,2007-09-09
Coal Creek,9/11/2007,0.038844622,mg NO3/L,2007-09-11
