Study_ID,DOI,Design_Control_Burn_Pre_Post,Latitude,Longitude,Area_watershed,Area_unit,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,12/17/03,Burn,1,Individual,0.723913043,mg_L,,,,mg_L,,,Figure 4,I got exact coordinates from Hampton. The Fish and Macdonald data I also got from Hampton. This appears to just be post burn data but the literature has pre_burn data as well. Do we event want to use this?
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,1/10/04,Burn,1,Individual,,mg_L,,,0.328685259,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,3/16/04,Burn,1,Individual,2.308695652,mg_L,,,,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,3/22/04,Burn,1,Individual,1.715217391,mg_L,,,,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,3/29/04,Burn,1,Individual,1.904347826,mg_L,,,,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,3/30/04,Burn,1,Individual,,mg_L,,,0.729083665,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,4/1/04,Burn,1,Individual,1.734782609,mg_L,,,,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,4/3/04,Burn,1,Individual,2.210869565,mg_L,,,,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,4/5/04,Burn,1,Individual,,mg_L,,,0.702191235,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,4/7/04,Burn,1,Individual,,mg_L,,,0.800796813,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,4/7/04,Burn,1,Individual,1.897826087,mg_L,,,,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,4/11/04,Burn,1,Individual,,mg_L,,,0.833665339,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,4/13/04,Burn,1,Individual,1.87826087,mg_L,,,,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,4/16/04,Burn,1,Individual,1.695652174,mg_L,,,,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,4/17/04,Burn,1,Individual,,mg_L,,,0.797808765,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,4/18/04,Burn,1,Individual,1.565217391,mg_L,,,,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,4/23/04,Burn,1,Individual,,mg_L,,,0.720119522,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,4/24/04,Burn,1,Individual,1.773913043,mg_L,,,,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,4/26/04,Burn,1,Individual,,mg_L,,,0.747011952,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,4/30/04,Burn,1,Individual,,mg_L,,,0.669322709,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,4/30/04,Burn,1,Individual,1.610869565,mg_L,,,,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,5/3/04,Burn,1,Individual,,mg_L,,,0.585657371,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,5/7/04,Burn,1,Individual,,mg_L,,,0.507968127,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,5/7/04,Burn,1,Individual,,mg_L,,,0.499003984,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,5/10/04,Burn,1,Individual,1.180434783,mg_L,,,,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,5/15/04,Burn,1,Individual,,mg_L,,,0.427290837,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,5/17/04,Burn,1,Individual,1.095652174,mg_L,,,,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,5/22/04,Burn,1,Individual,,mg_L,,,0.34063745,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,5/23/04,Burn,1,Individual,1.330434783,mg_L,,,,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,5/29/04,Burn,1,Individual,,mg_L,,,0.334661355,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,5/29/04,Burn,1,Individual,1.27173913,mg_L,,,,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,6/3/04,Burn,1,Individual,1.343478261,mg_L,,,,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,6/6/04,Burn,1,Individual,,mg_L,,,0.268924303,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,6/7/04,Burn,1,Individual,1.023913043,mg_L,,,,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,6/10/04,Burn,1,Individual,,mg_L,,,0.271912351,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,6/12/04,Burn,1,Individual,1.115217391,mg_L,,,,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,6/16/04,Burn,1,Individual,,mg_L,,,0.256972112,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,6/17/04,Burn,1,Individual,0.997826087,mg_L,,,,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,6/21/04,Burn,1,Individual,1.12826087,mg_L,,,,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,6/23/04,Burn,1,Individual,,mg_L,,,0.170318725,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,6/28/04,Burn,1,Individual,0.847826087,mg_L,,,,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,7/1/04,Burn,1,Individual,,mg_L,,,0.253984064,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,7/4/04,Burn,1,Individual,1.226086957,mg_L,,,,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,7/9/04,Burn,1,Individual,,mg_L,,,0.24501992,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,7/9/04,Burn,1,Individual,0.919565217,mg_L,,,,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,7/12/04,Burn,1,Individual,,mg_L,,,0.155378486,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,7/12/04,Burn,1,Individual,0.834782609,mg_L,,,,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,7/19/04,Burn,1,Individual,0.854347826,mg_L,,,,mg_L,,,Figure 4,
"Mast & Clow, 2008",10.1002/hyp.7121,Control_Reference_vs_Impact,48.418961,-113.696178,9640,ha,Site_1,Dfc,Coal,7/21/04,Burn,1,Individual,,mg_L,,,0.125498008,mg_L,,,Figure 4,
