"Site","SampleDate","Conc","Units"
"Coal Creek","05/01/2006",1.42173913,"mg/L"
"Coal Creek","05/20/2006",1.42826087,"mg/L"
"Coal Creek","05/08/2006",1.219565217,"mg/L"
"Coal Creek","05/24/2006",1.317391304,"mg/L"
"Coal Creek","05/29/2006",1.193478261,"mg/L"
"Coal Creek","06/05/2006",1.27173913,"mg/L"
"Coal Creek","06/19/2006",1.35,"mg/L"
"Coal Creek","06/30/2006",1.226086957,"mg/L"
"Coal Creek","07/09/2006",0.626086957,"mg/L"
"Coal Creek","07/23/2006",0.736956522,"mg/L"
"Coal Creek","08/06/2006",0.860869565,"mg/L"
"Coal Creek","09/03/2006",0.991304348,"mg/L"
"Coal Creek","08/20/2006",0.704347826,"mg/L"
"Coal Creek","10/22/2006",0.808695652,"mg/L"
"Coal Creek","12/13/2006",0.808695652,"mg/L"
"Coal Creek","02/21/2007",0.710869565,"mg/L"
"Coal Creek","04/25/2007",1.715217391,"mg/L"
"Coal Creek","05/07/2007",1.408695652,"mg/L"
"Coal Creek","05/22/2007",1.004347826,"mg/L"
"Coal Creek","06/04/2007",0.906521739,"mg/L"
"Coal Creek","06/18/2007",0.906521739,"mg/L"
"Coal Creek","06/18/2007",0.710869565,"mg/L"
"Coal Creek","07/15/2007",0.508695652,"mg/L"
"Coal Creek","07/29/2007",0.606521739,"mg/L"
"Coal Creek","08/15/2007",0.606521739,"mg/L"
"Coal Creek","08/27/2007",0.606521739,"mg/L"
"Pinchot Creek","12/16/2003",0.391304348,"mg/L"
"Pinchot Creek","04/29/2004",3.515217391,"mg/L"
"Pinchot Creek","03/27/2004",2.008695652,"mg/L"
"Pinchot Creek","03/15/2004",1.513043478,"mg/L"
"Pinchot Creek","04/09/2004",1.441304348,"mg/L"
"Pinchot Creek","03/21/2004",1.310869565,"mg/L"
"Pinchot Creek","04/01/2004",1.310869565,"mg/L"
"Pinchot Creek","04/12/2004",1.310869565,"mg/L"
"Pinchot Creek","04/06/2004",1.258695652,"mg/L"
"Pinchot Creek","03/11/2004",1.010869565,"mg/L"
"Pinchot Creek","03/08/2004",0.906521739,"mg/L"
"Pinchot Creek","04/15/2004",0.965217391,"mg/L"
"Pinchot Creek","04/17/2004",0.958695652,"mg/L"
"Pinchot Creek","05/16/2004",1.017391304,"mg/L"
"Pinchot Creek","05/04/2004",1.245652174,"mg/L"
"Pinchot Creek","04/25/2004",1.636956522,"mg/L"
"Pinchot Creek","05/10/2004",0.710869565,"mg/L"
"Pinchot Creek","05/28/2004",0.763043478,"mg/L"
"Pinchot Creek","06/01/2004",0.789130435,"mg/L"
"Pinchot Creek","06/11/2004",0.82826087,"mg/L"
"Pinchot Creek","05/22/2004",0.645652174,"mg/L"
"Pinchot Creek","06/06/2004",0.626086957,"mg/L"
"Pinchot Creek","06/14/2004",0.704347826,"mg/L"
"Pinchot Creek","06/21/2004",0.645652174,"mg/L"
"Pinchot Creek","06/29/2004",0.567391304,"mg/L"
"Pinchot Creek","07/05/2004",0.573913043,"mg/L"
"Pinchot Creek","07/08/2004",0.567391304,"mg/L"
"Pinchot Creek","07/12/2004",0.430434783,"mg/L"
"Pinchot Creek","07/28/2004",0.384782609,"mg/L"
"Pinchot Creek","07/22/2004",0.515217391,"mg/L"
"Pinchot Creek","07/16/2004",0.469565217,"mg/L"
"Pinchot Creek","07/27/2004",0.463043478,"mg/L"
"Pinchot Creek","08/02/2004",0.619565217,"mg/L"
"Pinchot Creek","10/06/2004",0.22826087,"mg/L"
"Pinchot Creek","11/24/2004",0.691304348,"mg/L"
"Pinchot Creek","01/28/2005",0.52173913,"mg/L"
"Pinchot Creek","04/11/2005",0.652173913,"mg/L"
"Pinchot Creek","04/22/2005",0.730434783,"mg/L"
"Pinchot Creek","05/16/2005",0.880434783,"mg/L"
"Pinchot Creek","05/09/2005",0.658695652,"mg/L"
"Pinchot Creek","05/23/2005",0.515217391,"mg/L"
"Pinchot Creek","06/18/2005",0.567391304,"mg/L"
"Pinchot Creek","07/02/2005",0.443478261,"mg/L"
"Pinchot Creek","07/16/2005",0.326086957,"mg/L"
"Pinchot Creek","07/30/2005",0.502173913,"mg/L"
"Pinchot Creek","08/17/2005",0.580434783,"mg/L"
"Pinchot Creek","08/13/2005",0.37826087,"mg/L"
"Pinchot Creek","08/27/2005",0.208695652,"mg/L"
"Pinchot Creek","09/25/2005",0.293478261,"mg/L"
"Pinchot Creek","10/08/2005",0.502173913,"mg/L"
"Pinchot Creek","10/23/2005",0.430434783,"mg/L"
"Pinchot Creek","11/15/2005",0.639130435,"mg/L"
"Pinchot Creek","12/07/2005",0.45,"mg/L"
"Pinchot Creek","02/09/2006",0.795652174,"mg/L"
"Pinchot Creek","03/07/2006",0.632608696,"mg/L"
"Pinchot Creek","04/11/2006",1.252173913,"mg/L"
"Pinchot Creek","05/06/2006",0.97173913,"mg/L"
"Pinchot Creek","05/19/2006",0.965217391,"mg/L"
"Pinchot Creek","06/04/2006",0.919565217,"mg/L"
"Pinchot Creek","04/29/2006",0.9,"mg/L"
"Pinchot Creek","05/28/2006",0.665217391,"mg/L"
"Pinchot Creek","06/17/2006",0.691304348,"mg/L"
"Pinchot Creek","07/21/2006",0.534782609,"mg/L"
"Pinchot Creek","08/04/2006",0.37173913,"mg/L"
"Pinchot Creek","08/18/2006",0.456521739,"mg/L"
"Pinchot Creek","09/01/2006",0.639130435,"mg/L"
"Pinchot Creek","10/20/2006",0.410869565,"mg/L"
"Pinchot Creek","12/11/2006",0.508695652,"mg/L"
"Pinchot Creek","02/19/2007",0.410869565,"mg/L"
"Pinchot Creek","04/23/2007",0.808695652,"mg/L"
"Pinchot Creek","05/06/2007",0.808695652,"mg/L"
"Pinchot Creek","05/20/2007",0.508695652,"mg/L"
"Pinchot Creek","06/02/2007",0.404347826,"mg/L"
"Pinchot Creek","06/17/2007",0.404347826,"mg/L"
"Pinchot Creek","06/16/2007",0.515217391,"mg/L"
"Pinchot Creek","07/13/2007",0.215217391,"mg/L"
"Pinchot Creek","07/28/2007",0.306521739,"mg/L"
"Pinchot Creek","08/13/2007",0.306521739,"mg/L"
"Pinchot Creek","08/25/2007",0.410869565,"mg/L"
"Pinchot Creek","01/10/2006",1.741304348,"mg/L"
"Pinchot Creek","06/12/2006",1.363043478,"mg/L"
