"Site","SampleDate","Conc","Units"
"Coal Creek","12/17/2003",0.723913043,"mg/L"
"Coal Creek","03/16/2004",2.308695652,"mg/L"
"Coal Creek","04/03/2004",2.210869565,"mg/L"
"Coal Creek","03/29/2004",1.904347826,"mg/L"
"Coal Creek","04/07/2004",1.897826087,"mg/L"
"Coal Creek","04/13/2004",1.87826087,"mg/L"
"Coal Creek","04/24/2004",1.773913043,"mg/L"
"Coal Creek","03/22/2004",1.715217391,"mg/L"
"Coal Creek","04/01/2004",1.734782609,"mg/L"
"Coal Creek","04/16/2004",1.695652174,"mg/L"
"Coal Creek","04/18/2004",1.565217391,"mg/L"
"Coal Creek","04/30/2004",1.610869565,"mg/L"
"Coal Creek","05/23/2004",1.330434783,"mg/L"
"Coal Creek","06/03/2004",1.343478261,"mg/L"
"Coal Creek","05/29/2004",1.27173913,"mg/L"
"Coal Creek","05/10/2004",1.180434783,"mg/L"
"Coal Creek","05/17/2004",1.095652174,"mg/L"
"Coal Creek","06/17/2004",0.997826087,"mg/L"
"Coal Creek","06/07/2004",1.023913043,"mg/L"
"Coal Creek","06/12/2004",1.115217391,"mg/L"
"Coal Creek","06/21/2004",1.12826087,"mg/L"
"Coal Creek","07/04/2004",1.226086957,"mg/L"
"Coal Creek","07/09/2004",0.919565217,"mg/L"
"Coal Creek","06/28/2004",0.847826087,"mg/L"
"Coal Creek","07/12/2004",0.834782609,"mg/L"
"Coal Creek","07/19/2004",0.854347826,"mg/L"
"Coal Creek","07/27/2004",0.834782609,"mg/L"
"Coal Creek","07/28/2004",0.873913043,"mg/L"
"Coal Creek","08/04/2004",0.873913043,"mg/L"
"Coal Creek","10/08/2004",0.6,"mg/L"
"Coal Creek","11/26/2004",1.056521739,"mg/L"
"Coal Creek","01/30/2005",0.991304348,"mg/L"
"Coal Creek","03/06/2005",1.226086957,"mg/L"
"Coal Creek","04/12/2005",1.102173913,"mg/L"
"Coal Creek","04/24/2005",1.27173913,"mg/L"
"Coal Creek","05/10/2005",1.258695652,"mg/L"
"Coal Creek","05/17/2005",1.284782609,"mg/L"
"Coal Creek","05/24/2005",0.97173913,"mg/L"
"Coal Creek","06/20/2005",0.97173913,"mg/L"
"Coal Creek","07/04/2005",0.808695652,"mg/L"
"Coal Creek","07/18/2005",0.6,"mg/L"
"Coal Creek","08/01/2005",0.776086957,"mg/L"
"Coal Creek","09/27/2005",1.623913043,"mg/L"
"Coal Creek","08/19/2005",0.97173913,"mg/L"
"Coal Creek","08/15/2005",0.873913043,"mg/L"
"Coal Creek","08/29/2005",0.534782609,"mg/L"
"Coal Creek","09/12/2005",0.9,"mg/L"
"Coal Creek","10/10/2005",0.97826087,"mg/L"
"Coal Creek","10/24/2005",0.952173913,"mg/L"
"Coal Creek","11/17/2005",0.958695652,"mg/L"
"Coal Creek","01/11/2006",1.747826087,"mg/L"
"Coal Creek","04/13/2006",1.708695652,"mg/L"
"Coal Creek","05/11/2006",1.754347826,"mg/L"
"Coal Creek","06/14/2006",2.413043478,"mg/L"
"Coal Creek","02/10/2006",0.658695652,"mg/L"
"Coal Creek","03/08/2006",1.023913043,"mg/L"
